strategy,cost_bps_one_way,period,family,universe,normalization,normalization_label,min_adv20_usd,leadership_filter,sector_whitelist,symbol_whitelist,score_template,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,breadth_symbols,soft_defense_exposure,hard_defense_exposure,notes,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,annual_turnover,average_monthly_turnover,average_names_replaced_per_rebalance,median_holding_duration_days,top5_continuity,avg_sector_weights_json,Alpha_ann_vs_QQQ
broad_large_cap_eligible_balanced_pullback_focused_qqq_breadth,0.0,Full Sample,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2018-01-02,2026-04-02,3.4733342844812567,0.1992197496725785,-0.359704671606458,0.26796600331980813,0.814007035020504,0.9755668219643788,0.5538425419465743,3.910794322709163,9.82246015936255,9.344262295081966,0.6362494428249018,0.10250033287371295,0.7070766737580356,0.2983673416168179,-0.14070460471545088,0.41941296742811307,0.6362494428249018,0.09481223133512245,0.23719259842510979,0.10250033287371295,0.7070766737580356,0.2983673416168179,0.06214608554780011,0.0579629494594905,0.13847180457250163,0.8112206216830933,3.910794322709163,0.3225,3.3979591836734695,60.0,0.6000000000000001,"{""Information Technology"": 0.14781144781144784, ""Industrials"": 0.09747474747474748, ""Health Care"": 0.09191919191919193, ""Consumer Discretionary"": 0.0873737373737374, ""Financials"": 0.08013468013468014, ""Materials"": 0.04865319865319864, ""Utilities"": 0.039562289562289556, ""Consumer Staples"": 0.03686868686868687, ""Energy"": 0.03215488215488215, ""Communication"": 0.031818181818181815, ""Real Estate"": 0.01734006734006734}",0.09481223133512245
broad_large_cap_eligible_balanced_pullback_focused_qqq_breadth,0.0,OOS Sample,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2022-01-03,2026-04-02,1.6769302281512788,0.2611612028152066,-0.33699976711549573,0.2850665895363927,0.9597287716890767,1.244301280245428,0.7749595943361649,4.3987096774193555,11.075322580645162,10.333958724202626,0.6948595093340222,0.6080906618869347,1.045047107110354,0.40777092416584815,-0.14070460471545088,0.41941296742811307,0.6948595093340222,0.18695886847255472,0.2448930506450583,0.6080906618869347,1.045047107110354,0.40777092416584815,0.14208713319090388,0.13828174069533866,0.13847180457250066,1.0,3.910794322709163,0.3225,3.3979591836734695,60.0,0.6000000000000001,"{""Information Technology"": 0.14781144781144784, ""Industrials"": 0.09747474747474748, ""Health Care"": 0.09191919191919193, ""Consumer Discretionary"": 0.0873737373737374, ""Financials"": 0.08013468013468014, ""Materials"": 0.04865319865319864, ""Utilities"": 0.039562289562289556, ""Consumer Staples"": 0.03686868686868687, ""Energy"": 0.03215488215488215, ""Communication"": 0.031818181818181815, ""Real Estate"": 0.01734006734006734}",0.18695886847255472
broad_large_cap_eligible_balanced_pullback_focused_qqq_breadth,0.0,2022,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2022-01-03,2022-12-30,-0.14070460471545088,-0.14223730640493681,-0.17226222180877016,0.1371009440169278,-1.0413755424943494,-1.0417485270948317,-0.8257022631627017,3.187084487534627,7.0824099722991685,5.9282868525896415,0.19999238193226576,0.7087152756475532,0.15686049445700714,0.28757501160993654,-0.14070460471545088,0.41941296742811307,0.19999238193226576,-0.0739880849604499,0.2838473541204768,0.7087152756475532,0.15686049445700714,0.28757501160993654,,,,,3.910794322709163,0.3225,3.3979591836734695,60.0,0.6000000000000001,"{""Information Technology"": 0.14781144781144784, ""Industrials"": 0.09747474747474748, ""Health Care"": 0.09191919191919193, ""Consumer Discretionary"": 0.0873737373737374, ""Financials"": 0.08013468013468014, ""Materials"": 0.04865319865319864, ""Utilities"": 0.039562289562289556, ""Consumer Staples"": 0.03686868686868687, ""Energy"": 0.03215488215488215, ""Communication"": 0.031818181818181815, ""Real Estate"": 0.01734006734006734}",-0.0739880849604499
broad_large_cap_eligible_balanced_pullback_focused_qqq_breadth,0.0,2023+,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2023-01-03,2026-04-02,2.1152619260398104,0.41941296742811307,-0.33699976711549606,0.31658163957893715,1.2692312974548,1.7502761429305944,1.2445497248203512,4.782668776371309,12.329113924050633,11.69079754601227,1.0914016939856586,0.5735853630637637,1.2417176936506868,0.6170350309343416,-0.14070460471545088,0.41941296742811307,1.0914016939856586,0.10823940450997455,0.23157063659322014,0.5735853630637637,1.2417176936506868,0.6170350309343416,0.11305719890069311,0.11964018960297527,0.13847180457250066,1.0,3.910794322709163,0.3225,3.3979591836734695,60.0,0.6000000000000001,"{""Information Technology"": 0.14781144781144784, ""Industrials"": 0.09747474747474748, ""Health Care"": 0.09191919191919193, ""Consumer Discretionary"": 0.0873737373737374, ""Financials"": 0.08013468013468014, ""Materials"": 0.04865319865319864, ""Utilities"": 0.039562289562289556, ""Consumer Staples"": 0.03686868686868687, ""Energy"": 0.03215488215488215, ""Communication"": 0.031818181818181815, ""Real Estate"": 0.01734006734006734}",0.10823940450997455
broad_large_cap_eligible_balanced_pullback_focused_qqq_breadth,5.0,Full Sample,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2018-01-02,2026-04-02,3.4018537949245724,0.19687951575892182,-0.3606001607967777,0.26796213198211766,0.8067070999031914,0.9668205098938956,0.5459773376803251,3.910794322709163,9.82246015936255,9.344262295081966,0.6362037735043662,0.09423751003948723,0.7033832165308268,0.3013948307116881,-0.14205649761312966,0.4160176585670563,0.6362037735043662,0.09286182521037895,0.23719920879602094,0.09423751003948723,0.7033832165308268,0.3013948307116881,0.060080665140701074,0.055941145788080945,0.1360893369450083,0.8051554207733131,3.910794322709163,0.3225,3.3979591836734695,60.0,0.6000000000000001,"{""Information Technology"": 0.14781144781144784, ""Industrials"": 0.09747474747474748, ""Health Care"": 0.09191919191919193, ""Consumer Discretionary"": 0.0873737373737374, ""Financials"": 0.08013468013468014, ""Materials"": 0.04865319865319864, ""Utilities"": 0.039562289562289556, ""Consumer Staples"": 0.03686868686868687, ""Energy"": 0.03215488215488215, ""Communication"": 0.031818181818181815, ""Real Estate"": 0.01734006734006734}",0.09286182521037895
broad_large_cap_eligible_balanced_pullback_focused_qqq_breadth,5.0,OOS Sample,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2022-01-03,2026-04-02,1.6520322897441613,0.25838721249102936,-0.3372828391892724,0.285081739762285,0.9519383074650082,1.234266477592752,0.7660846698044744,4.3987096774193555,11.075322580645162,10.333958724202626,0.6948057758705982,0.5990086476282461,1.0409935230102592,0.4114026381944863,-0.14205649761312966,0.4160176585670563,0.6948057758705982,0.18475918840597536,0.24492267157125971,0.5990086476282461,1.0409935230102592,0.4114026381944863,0.1399528290846883,0.13608933694500744,0.13608933694500744,1.0,3.910794322709163,0.3225,3.3979591836734695,60.0,0.6000000000000001,"{""Information Technology"": 0.14781144781144784, ""Industrials"": 0.09747474747474748, ""Health Care"": 0.09191919191919193, ""Consumer Discretionary"": 0.0873737373737374, ""Financials"": 0.08013468013468014, ""Materials"": 0.04865319865319864, ""Utilities"": 0.039562289562289556, ""Consumer Staples"": 0.03686868686868687, ""Energy"": 0.03215488215488215, ""Communication"": 0.031818181818181815, ""Real Estate"": 0.01734006734006734}",0.18475918840597536
broad_large_cap_eligible_balanced_pullback_focused_qqq_breadth,5.0,2022,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2022-01-03,2022-12-30,-0.14205649761312966,-0.14360266256550436,-0.17226222180877016,0.13708973950397838,-1.0529952524151147,-1.049988415124382,-0.8336282967772177,3.187084487534627,7.0824099722991685,5.9282868525896415,0.19990908181011438,0.7030829822447211,0.15543802590939215,0.28944674965303463,-0.14205649761312966,0.4160176585670563,0.19990908181011438,-0.07559801014865769,0.2838721544357539,0.7030829822447211,0.15543802590939215,0.28944674965303463,,,,,3.910794322709163,0.3225,3.3979591836734695,60.0,0.6000000000000001,"{""Information Technology"": 0.14781144781144784, ""Industrials"": 0.09747474747474748, ""Health Care"": 0.09191919191919193, ""Consumer Discretionary"": 0.0873737373737374, ""Financials"": 0.08013468013468014, ""Materials"": 0.04865319865319864, ""Utilities"": 0.039562289562289556, ""Consumer Staples"": 0.03686868686868687, ""Energy"": 0.03215488215488215, ""Communication"": 0.031818181818181815, ""Real Estate"": 0.01734006734006734}",-0.07559801014865769
broad_large_cap_eligible_balanced_pullback_focused_qqq_breadth,5.0,2023+,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2023-01-03,2026-04-02,2.0911502708115286,0.4160176585670563,-0.33728283918927215,0.31660229035914816,1.2615715097781817,1.7398617407762444,1.2334385572863396,4.782668776371309,12.329113924050633,11.69079754601227,1.0913831623536483,0.5631498031494538,1.2370815033374496,0.6237309074183937,-0.14205649761312966,0.4160176585670563,1.0913831623536483,0.10584549362439465,0.23160201997814384,0.5631498031494538,1.2370815033374496,0.6237309074183937,0.11073014551918971,0.11734856390277493,0.13608933694500733,1.0,3.910794322709163,0.3225,3.3979591836734695,60.0,0.6000000000000001,"{""Information Technology"": 0.14781144781144784, ""Industrials"": 0.09747474747474748, ""Health Care"": 0.09191919191919193, ""Consumer Discretionary"": 0.0873737373737374, ""Financials"": 0.08013468013468014, ""Materials"": 0.04865319865319864, ""Utilities"": 0.039562289562289556, ""Consumer Staples"": 0.03686868686868687, ""Energy"": 0.03215488215488215, ""Communication"": 0.031818181818181815, ""Real Estate"": 0.01734006734006734}",0.10584549362439465
broad_large_cap_eligible_balanced_pullback_focused_spy_breadth,0.0,Full Sample,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,spy_breadth,SPY,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2018-01-02,2026-04-02,3.052263184964703,0.18492924538483613,-0.33699976711549606,0.2556710770416809,0.7933399285705811,0.9604691930159109,0.5487518492007072,4.38776975431607,9.82246015936255,9.112825458052074,0.5397284717427562,0.03657118795841729,0.630621875129717,0.22567945633024933,-0.15446410851143488,0.4055655683309076,0.5397284717427562,0.09822719850636985,0.24664723643021869,0.03657118795841729,0.630621875129717,0.22567945633024933,0.05856647467148709,0.05839117075246723,0.1301739449905149,0.8559514783927218,4.38776975431607,0.3618333333333334,3.5408163265306123,59.0,0.5866666666666668,"{""Information Technology"": 0.1432659932659933, ""Industrials"": 0.09343434343434341, ""Health Care"": 0.08922558922558924, ""Consumer Discretionary"": 0.08703703703703707, ""Financials"": 0.07946127946127947, ""Materials"": 0.04797979797979797, ""Utilities"": 0.03855218855218855, ""Consumer Staples"": 0.03518518518518518, ""Communication"": 0.03232323232323232, ""Energy"": 0.030976430976430974, ""Real Estate"": 0.017508417508417508}",0.09822719850636985
broad_large_cap_eligible_balanced_pullback_focused_spy_breadth,0.0,OOS Sample,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,spy_breadth,SPY,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2022-01-03,2026-04-02,1.551603952244533,0.24699174279789848,-0.33699976711549595,0.2856677433928689,0.9185969235346857,1.1956048061605542,0.7329136898579812,5.105645161290324,11.546612903225807,10.356472795497186,0.6988899038465186,0.5629229169086921,1.0230638544088857,0.4210043434549522,-0.15446410851143488,0.4055655683309076,0.6988899038465186,0.17528330389215008,0.24469438981649366,0.5629229169086921,1.0230638544088857,0.4210043434549522,0.12500154301747762,0.12325932619589507,0.13017394499051405,1.0,4.38776975431607,0.3618333333333334,3.5408163265306123,59.0,0.5866666666666668,"{""Information Technology"": 0.1432659932659933, ""Industrials"": 0.09343434343434341, ""Health Care"": 0.08922558922558924, ""Consumer Discretionary"": 0.08703703703703707, ""Financials"": 0.07946127946127947, ""Materials"": 0.04797979797979797, ""Utilities"": 0.03855218855218855, ""Consumer Staples"": 0.03518518518518518, ""Communication"": 0.03232323232323232, ""Energy"": 0.030976430976430974, ""Real Estate"": 0.017508417508417508}",0.17528330389215008
