experiment_group,scenario,cost_bps_one_way,period,data_variant,universe_lag_rebalances,universe_filter,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,group_normalization,residual_proxy,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio
parameter_stability,grid_h12_cap7_sector25_hold05,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.07,0.25,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,3.7224504477125873,0.20712674059330127,-0.3289137167577022,0.2405262252761029,0.905448337397402,1.0914511526051363,0.6297297134186818,3.2644521912350606,10.428784860557768,10.322082931533268,0.6450474192017366,0.11794433766766182,0.7388940710363736,0.35490567092634506,-0.08023425932404293,0.37239189613749657,0.6450474192017366,0.09276491298569972,0.20323288489140387,0.11794433766766182,0.7388940710363736,0.35490567092634506,0.0737006651152425,0.06532467667412081,0.12881100309754473,0.9166034874905231
parameter_stability,grid_h12_cap7_sector25_hold05,5.0,2022,alias_on,0,leadership_liquid,12,0.07,0.25,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2022-01-03,2022-12-30,-0.08023425932404293,-0.08113944948527418,-0.1386583151165599,0.16311380225331598,-0.43288793773288553,-0.6023880051110353,-0.5851755043833194,3.470380886426593,12.141274238227146,12.0,0.3315546569150765,1.1040637003060072,0.4531937991076798,0.31148700853090444,-0.08023425932404293,0.37239189613749657,0.3315546569150765,0.04342500006921078,0.24756748221140942,1.1040637003060072,0.4531937991076798,0.31148700853090444,0.0737006651152425,0.06532467667412081,0.12881100309754473,0.9166034874905231
parameter_stability,grid_h12_cap7_sector25_hold05,5.0,2023+,alias_on,0,leadership_liquid,12,0.07,0.25,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2023-01-03,2026-04-02,1.7927216834946083,0.37239189613749657,-0.3001195051747907,0.2594634818855461,1.3548830113330843,1.8461217817067452,1.240812042258347,3.5877721518987356,12.329113924050633,12.0,0.9229696186163757,0.4477469069253585,1.1727403063376993,0.808676621321876,-0.08023425932404293,0.37239189613749657,0.9229696186163757,0.10327329009940076,0.1843740408721402,0.4477469069253585,1.1727403063376993,0.808676621321876,0.0737006651152425,0.06532467667412081,0.12881100309754473,0.9166034874905231
parameter_stability,grid_h12_cap7_sector25_hold10,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.07,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,3.3330544572558223,0.19459530681008097,-0.3396854513528871,0.24107692602493888,0.8605205766616724,1.0358201465278267,0.5728691235819896,3.203819721115538,10.428784860557768,10.322082931533268,0.6447271327716785,0.06686026982577713,0.7219310624400025,0.375503172232471,-0.08136221949468958,0.3387429578712571,0.6447271327716785,0.08249457357479889,0.2039739394176116,0.06686026982577713,0.7219310624400025,0.375503172232471,0.0680146296920589,0.06321342567623878,0.10208649145939318,0.9158453373768006
parameter_stability,grid_h12_cap7_sector25_hold10,5.0,2022,alias_on,0,leadership_liquid,12,0.07,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2022-01-03,2022-12-30,-0.08136221949468958,-0.08227955757755478,-0.1386583151165599,0.16310917123976357,-0.440456057239655,-0.6126782038850559,-0.5933979329576331,3.490616343490305,12.141274238227146,12.0,0.3316405078864519,1.0992576470030608,0.4531937991076798,0.3134822228922611,-0.08136221949468958,0.3387429578712571,0.3316405078864519,0.0422221026846238,0.24752872653368624,1.0992576470030608,0.4531937991076798,0.3134822228922611,0.0680146296920589,0.06321342567623878,0.10208649145939318,0.9158453373768006
parameter_stability,grid_h12_cap7_sector25_hold10,5.0,2023+,alias_on,0,leadership_liquid,12,0.07,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2023-01-03,2026-04-02,1.576620524679568,0.3387429578712571,-0.3001195051747906,0.25920773733032637,1.259773529084104,1.7183026353904172,1.1286935771601119,3.513797468354431,12.329113924050633,12.0,0.9221882057215046,0.3124819055854711,1.1129545205409386,0.8447168115000266,-0.08136221949468958,0.3387429578712571,0.9221882057215046,0.07848386451870104,0.1841811888738726,0.3124819055854711,1.1129545205409386,0.8447168115000266,0.0680146296920589,0.06321342567623878,0.10208649145939318,0.9158453373768006
parameter_stability,grid_h12_cap7_sector25_hold15,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.07,0.25,0.15,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,3.442386481981668,0.19821059825956877,-0.3396854513528874,0.24084833059395402,0.8737126185830824,1.0477825947756896,0.5835121800776056,3.0570891434262952,10.428784860557768,10.322082931533268,0.643818215783136,0.08147910310863497,0.728253744802339,0.37156650068183905,-0.07509680219166781,0.3345565571231319,0.643818215783136,0.08565130452545137,0.20395809716431185,0.08147910310863497,0.728253744802339,0.37156650068183905,0.07235713038670487,0.0664783117810241,0.09978501640281741,0.9241849886277483
parameter_stability,grid_h12_cap7_sector25_hold15,5.0,2022,alias_on,0,leadership_liquid,12,0.07,0.25,0.15,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2022-01-03,2022-12-30,-0.07509680219166781,-0.07594645496874775,-0.1386583151165599,0.16175607577383272,-0.4033323389378939,-0.5589248860033426,-0.5477237690715131,3.490616343490305,12.141274238227146,12.0,0.329114126266216,1.1251851211137358,0.45309671603972024,0.3030998538008564,-0.07509680219166781,0.3345565571231319,0.329114126266216,0.047954144397812044,0.24769151879989304,1.1251851211137358,0.45309671603972024,0.3030998538008564,0.07235713038670487,0.0664783117810241,0.09978501640281741,0.9241849886277483
parameter_stability,grid_h12_cap7_sector25_hold15,5.0,2023+,alias_on,0,leadership_liquid,12,0.07,0.25,0.15,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2023-01-03,2026-04-02,1.5505711395789419,0.3345565571231319,-0.30780616029397057,0.2596076598590355,1.2461782738505338,1.6858349795513081,1.0869066324196155,3.421329113924051,12.329113924050633,12.0,0.9247886345902088,0.296043201549909,1.1084991607743262,0.8554627035590812,-0.07509680219166781,0.3345565571231319,0.9247886345902088,0.07475875520780051,0.1841882130912277,0.296043201549909,1.1084991607743262,0.8554627035590812,0.07235713038670487,0.0664783117810241,0.09978501640281741,0.9241849886277483
parameter_stability,grid_h12_cap7_sector30_hold05,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.07,0.3,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,3.7224504477125873,0.20712674059330127,-0.3289137167577022,0.2405262252761029,0.905448337397402,1.0914511526051363,0.6297297134186818,3.2644521912350606,10.428784860557768,10.322082931533268,0.6450474192017366,0.11794433766766182,0.7388940710363736,0.35490567092634506,-0.08023425932404293,0.37239189613749657,0.6450474192017366,0.09276491298569972,0.20323288489140387,0.11794433766766182,0.7388940710363736,0.35490567092634506,0.0737006651152425,0.06532467667412081,0.12881100309754473,0.9166034874905231
parameter_stability,grid_h12_cap7_sector30_hold05,5.0,2022,alias_on,0,leadership_liquid,12,0.07,0.3,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2022-01-03,2022-12-30,-0.08023425932404293,-0.08113944948527418,-0.1386583151165599,0.16311380225331598,-0.43288793773288553,-0.6023880051110353,-0.5851755043833194,3.470380886426593,12.141274238227146,12.0,0.3315546569150765,1.1040637003060072,0.4531937991076798,0.31148700853090444,-0.08023425932404293,0.37239189613749657,0.3315546569150765,0.04342500006921078,0.24756748221140942,1.1040637003060072,0.4531937991076798,0.31148700853090444,0.0737006651152425,0.06532467667412081,0.12881100309754473,0.9166034874905231
parameter_stability,grid_h12_cap7_sector30_hold05,5.0,2023+,alias_on,0,leadership_liquid,12,0.07,0.3,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2023-01-03,2026-04-02,1.7927216834946083,0.37239189613749657,-0.3001195051747907,0.2594634818855461,1.3548830113330843,1.8461217817067452,1.240812042258347,3.5877721518987356,12.329113924050633,12.0,0.9229696186163757,0.4477469069253585,1.1727403063376993,0.808676621321876,-0.08023425932404293,0.37239189613749657,0.9229696186163757,0.10327329009940076,0.1843740408721402,0.4477469069253585,1.1727403063376993,0.808676621321876,0.0737006651152425,0.06532467667412081,0.12881100309754473,0.9166034874905231
parameter_stability,grid_h12_cap7_sector30_hold10,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.07,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,3.3330544572558223,0.19459530681008097,-0.3396854513528871,0.24107692602493888,0.8605205766616724,1.0358201465278267,0.5728691235819896,3.203819721115538,10.428784860557768,10.322082931533268,0.6447271327716785,0.06686026982577713,0.7219310624400025,0.375503172232471,-0.08136221949468958,0.3387429578712571,0.6447271327716785,0.08249457357479889,0.2039739394176116,0.06686026982577713,0.7219310624400025,0.375503172232471,0.0680146296920589,0.06321342567623878,0.10208649145939318,0.9158453373768006
parameter_stability,grid_h12_cap7_sector30_hold10,5.0,2022,alias_on,0,leadership_liquid,12,0.07,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2022-01-03,2022-12-30,-0.08136221949468958,-0.08227955757755478,-0.1386583151165599,0.16310917123976357,-0.440456057239655,-0.6126782038850559,-0.5933979329576331,3.490616343490305,12.141274238227146,12.0,0.3316405078864519,1.0992576470030608,0.4531937991076798,0.3134822228922611,-0.08136221949468958,0.3387429578712571,0.3316405078864519,0.0422221026846238,0.24752872653368624,1.0992576470030608,0.4531937991076798,0.3134822228922611,0.0680146296920589,0.06321342567623878,0.10208649145939318,0.9158453373768006
parameter_stability,grid_h12_cap7_sector30_hold10,5.0,2023+,alias_on,0,leadership_liquid,12,0.07,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2023-01-03,2026-04-02,1.576620524679568,0.3387429578712571,-0.3001195051747906,0.25920773733032637,1.259773529084104,1.7183026353904172,1.1286935771601119,3.513797468354431,12.329113924050633,12.0,0.9221882057215046,0.3124819055854711,1.1129545205409386,0.8447168115000266,-0.08136221949468958,0.3387429578712571,0.9221882057215046,0.07848386451870104,0.1841811888738726,0.3124819055854711,1.1129545205409386,0.8447168115000266,0.0680146296920589,0.06321342567623878,0.10208649145939318,0.9158453373768006
