strategy,cost_bps_one_way,period,family,universe,normalization,normalization_label,min_adv20_usd,leadership_filter,sector_whitelist,symbol_whitelist,score_template,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,breadth_symbols,soft_defense_exposure,hard_defense_exposure,notes,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,annual_turnover,average_monthly_turnover,average_names_replaced_per_rebalance,median_holding_duration_days,top5_continuity,avg_sector_weights_json,Alpha_ann_vs_QQQ,experiment_group,scenario,universe_filter,leadership_only,group_normalization,group_normalization_label
broad_large_cap_eligible_balanced_pullback_balanced_qqq_breadth,5.0,Full Sample,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2018-01-02,2026-04-02,3.1307300514972844,0.18768823595798545,-0.3362700948230595,0.24872407220100792,0.8179454815651979,0.9799528527609718,0.5581472716351549,3.76527639442231,9.82246015936255,12.459016393442623,0.6125048529214872,0.043486521441735,0.6617727612408931,0.2857583714809766,-0.14587933177797008,0.3975227898506668,0.6125048529214872,0.08473078187233722,0.22142123902263847,0.043486521441735,0.6617727612408931,0.2857583714809766,0.055237862442859276,0.05279403928849767,0.13241792622678883,0.8074298711144806,3.76527639442231,0.3105,4.285714285714286,61.0,0.6000000000000001,"{""Information Technology"": 0.13926767676767676, ""Industrials"": 0.09393939393939395, ""Consumer Discretionary"": 0.09027777777777776, ""Health Care"": 0.08611111111111111, ""Financials"": 0.07929292929292929, ""Materials"": 0.046212121212121204, ""Communication"": 0.039141414141414144, ""Utilities"": 0.03838383838383839, ""Consumer Staples"": 0.03598484848484849, ""Energy"": 0.03244949494949495, ""Real Estate"": 0.03005050505050505}",0.08473078187233722,,,,,,
broad_large_cap_eligible_balanced_pullback_balanced_qqq_breadth,5.0,OOS Sample,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2022-01-03,2026-04-02,1.5299668874365095,0.24449186142520074,-0.2982238155399347,0.26288283333721785,0.9666913010933563,1.2640955272144694,0.8198267498608313,4.170919354838711,11.075322580645162,13.778611632270168,0.6679615296895837,0.5746225312247123,0.9695848791187635,0.38270355240361636,-0.14587933177797008,0.3975227898506668,0.6679615296895837,0.17085216464673877,0.22529070927806208,0.5746225312247123,0.9695848791187635,0.38270355240361636,0.12776991080046018,0.12713647926499055,0.13241792622678794,1.0,3.76527639442231,0.3105,4.285714285714286,61.0,0.6000000000000001,"{""Information Technology"": 0.13926767676767676, ""Industrials"": 0.09393939393939395, ""Consumer Discretionary"": 0.09027777777777776, ""Health Care"": 0.08611111111111111, ""Financials"": 0.07929292929292929, ""Materials"": 0.046212121212121204, ""Communication"": 0.039141414141414144, ""Utilities"": 0.03838383838383839, ""Consumer Staples"": 0.03598484848484849, ""Energy"": 0.03244949494949495, ""Real Estate"": 0.03005050505050505}",0.17085216464673877,,,,,,
broad_large_cap_eligible_balanced_pullback_balanced_qqq_breadth,5.0,2022,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2022-01-03,2022-12-30,-0.14587933177797008,-0.14746343045372057,-0.16932952729960105,0.12886293138775642,-1.1635249148563287,-1.2153912238179276,-0.870866604338935,3.085907202216067,7.0824099722991685,7.904382470119522,0.20193633914769202,0.6947481962576268,0.15532814563826783,0.2998255855690623,-0.14587933177797008,0.3975227898506668,0.20193633914769202,-0.08048114061266348,0.2792454813749823,0.6947481962576268,0.15532814563826783,0.2998255855690623,,,,,3.76527639442231,0.3105,4.285714285714286,61.0,0.6000000000000001,"{""Information Technology"": 0.13926767676767676, ""Industrials"": 0.09393939393939395, ""Consumer Discretionary"": 0.09027777777777776, ""Health Care"": 0.08611111111111111, ""Financials"": 0.07929292929292929, ""Materials"": 0.046212121212121204, ""Communication"": 0.039141414141414144, ""Utilities"": 0.03838383838383839, ""Consumer Staples"": 0.03598484848484849, ""Energy"": 0.03244949494949495, ""Real Estate"": 0.03005050505050505}",-0.08048114061266348,,,,,,
broad_large_cap_eligible_balanced_pullback_balanced_qqq_breadth,5.0,2023+,broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,2023-01-03,2026-04-02,1.9620719666027924,0.3975227898506668,-0.29822381553993427,0.2915744263615232,1.2983568736346864,1.7984327862600624,1.3329679560666599,4.515537974683545,12.329113924050633,15.587730061349694,1.0412859908421084,0.5323738194319559,1.1498852203833372,0.5269961770996029,-0.14587933177797008,0.3975227898506668,1.0412859908421084,0.09847235283895461,0.2058287976512087,0.5323738194319559,1.1498852203833372,0.5269961770996029,0.10117724344832381,0.10657298450511435,0.13241792622678789,1.0,3.76527639442231,0.3105,4.285714285714286,61.0,0.6000000000000001,"{""Information Technology"": 0.13926767676767676, ""Industrials"": 0.09393939393939395, ""Consumer Discretionary"": 0.09027777777777776, ""Health Care"": 0.08611111111111111, ""Financials"": 0.07929292929292929, ""Materials"": 0.046212121212121204, ""Communication"": 0.039141414141414144, ""Utilities"": 0.03838383838383839, ""Consumer Staples"": 0.03598484848484849, ""Energy"": 0.03244949494949495, ""Real Estate"": 0.03005050505050505}",0.09847235283895461,,,,,,
tech_heavy_pullback_balanced_focused_qqq_breadth,5.0,Full Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2018-01-02,2026-04-02,4.52577601428643,0.230343208703087,-0.3275691692317261,0.2279969587120907,1.0254865869181704,1.2292045082499627,0.7031895255689941,2.9588645418326696,9.094870517928285,6.397299903567984,0.5393895280254657,0.1835270672788294,0.6730084001708915,0.13224036890383856,-0.11420526158137101,0.4860629363265818,0.5393895280254657,0.12926663952681022,0.21791843598593486,0.1835270672788294,0.6730084001708915,0.13224036890383856,0.07368318345053657,0.05434594609671379,0.2528939288155754,0.8407884761182715,2.9588645418326696,0.24400000000000005,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}",0.12926663952681022,,,,,,
tech_heavy_pullback_balanced_focused_qqq_breadth,5.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2022-01-03,2026-04-02,2.20245135974008,0.3155716776716817,-0.1841129708630962,0.21839400709387893,1.3696922975287686,1.792701861378311,1.7140111106367206,3.157645161290324,9.661451612903226,6.975609756097561,0.49636582710588983,0.795541321038746,0.9806457410398776,0.17786386689811398,-0.11420526158137101,0.4860629363265818,0.49636582710588983,0.23725094432467417,0.21930119047498223,0.795541321038746,0.9806457410398776,0.17786386689811398,0.18983646758566428,0.18649042387516568,0.25289392881557476,1.0,2.9588645418326696,0.24400000000000005,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}",0.23725094432467417,,,,,,
tech_heavy_pullback_balanced_focused_qqq_breadth,5.0,2022,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2022-01-03,2022-12-30,-0.11420526158137101,-0.11546900328424914,-0.1473480842578786,0.11330883483615634,-1.0175879045010994,-0.8350170735984558,-0.783647808288862,2.124722991689751,4.0470914127423825,2.5179282868525896,0.13627198039204289,0.7719185021537375,-0.0011209240602578431,0.18503767880806213,-0.11420526158137101,0.4860629363265818,0.13627198039204289,-0.06843224321870368,0.29619555086336835,0.7719185021537375,-0.0011209240602578431,0.18503767880806213,,,,,2.9588645418326696,0.24400000000000005,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}",-0.06843224321870368,,,,,,
tech_heavy_pullback_balanced_focused_qqq_breadth,5.0,2023+,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2023-01-03,2026-04-02,2.615342495099122,0.4860629363265818,-0.18411297086309641,0.24115659895957944,1.769672412342374,2.5202546142096662,2.640025491131805,3.4829746835443047,11.404430379746836,8.348466257668711,0.7827109507354544,0.8329481791473957,1.1980376980005591,0.16537407993666342,-0.11420526158137101,0.4860629363265818,0.7827109507354544,0.2162269201031795,0.1894216071240709,0.8329481791473957,1.1980376980005591,0.16537407993666342,0.21651690772896348,0.22496942726448144,0.2528939288155747,1.0,2.9588645418326696,0.24400000000000005,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}",0.2162269201031795,,,,,,
crypto_theme_pullback_balanced_diversified_qqq_breadth,5.0,Full Sample,crypto_equity_theme_pullback,crypto_linked_equity_theme,universe,universe_cross_sectional,20000000.0,False,[],"[""COIN"", ""MSTR"", ""HOOD"", ""SQ"", ""XYZ"", ""PYPL"", ""IBKR"", ""CME"", ""CBOE""]",balanced_pullback,24,0.06,0.2,0.15,qqq_breadth,QQQ,broad,[],0.6,0.0,Explicit curated US-equity crypto-linked theme bucket inside the large-cap proxy universe,2018-01-02,2026-04-02,0.7139202214227487,0.06751713925821123,-0.1576018850798867,0.09130529498291681,0.762665464772196,0.886503869943739,0.42840311982301177,0.6038994023904383,4.001743027888446,3.7941176470588234,0.2136479370571424,-0.6132129910278407,0.25693647840779543,0.14708060217337135,-0.052430679831973914,0.14185945385941467,0.2136479370571424,0.02822745713058826,0.20250467315189405,-0.6132129910278407,0.25693647840779543,0.14708060217337135,0.03257366615717417,0.017308569555228203,0.06020540129184443,0.865049279757392,0.6038994023904383,0.049800000000000004,0.5,91.0,0.8952054794520548,"{""Financials"": 0.17333333333333337, ""Information Technology"": 0.05818181818181817}",0.02822745713058826,,,,,,
crypto_theme_pullback_balanced_diversified_qqq_breadth,5.0,OOS Sample,crypto_equity_theme_pullback,crypto_linked_equity_theme,universe,universe_cross_sectional,20000000.0,False,[],"[""COIN"", ""MSTR"", ""HOOD"", ""SQ"", ""XYZ"", ""PYPL"", ""IBKR"", ""CME"", ""CBOE""]",balanced_pullback,24,0.06,0.2,0.15,qqq_breadth,QQQ,broad,[],0.6,0.0,Explicit curated US-equity crypto-linked theme bucket inside the large-cap proxy universe,2022-01-03,2026-04-02,0.45722556450456353,0.09278391737027425,-0.15760188507988648,0.10760611699036064,0.8809414930488612,1.158099396663294,0.5887233983479525,0.9331548387096775,6.3624193548387105,4.210131332082551,0.23828681807188395,-0.14905010601805513,0.37888484542291034,0.16449846241882196,-0.052430679831973914,0.14185945385941467,0.23828681807188395,0.06508761144201264,0.2004341895657199,-0.14905010601805513,0.37888484542291034,0.16449846241882196,0.08844896988115325,0.0959317667589189,0.06020540129184413,1.0,0.6038994023904383,0.049800000000000004,0.5,91.0,0.8952054794520548,"{""Financials"": 0.17333333333333337, ""Information Technology"": 0.05818181818181817}",0.06508761144201264,,,,,,
