experiment_group,strategy,cost_bps_one_way,period,scenario,universe_filter,leadership_only,group_normalization,group_normalization_label,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,annual_turnover,average_monthly_turnover,average_names_replaced_per_rebalance,median_holding_duration_days,top5_continuity,avg_sector_weights_json
final_comparison,previous_offensive_default,0.0,Full Sample,qqq_plus_stock_alpha_v1,leadership_liquid,True,sector,sector,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,3.608202663991033,0.20354717066382433,-0.3728767879785573,0.2672417247679089,0.8295049834586475,0.981435608546031,0.5458831904428697,3.57125249003984,10.428784860557768,13.76277724204436,0.7224687675250869,0.1298686950383506,0.7863576101416702,0.44398992229477263,-0.1244364943351901,0.3399248551319709,0.7224687675250869,0.08165386760630845,0.2145587330589291,0.1298686950383506,0.7863576101416702,0.44398992229477263,0.056942922893043396,0.05923280025621901,0.09818935210741515,0.8855193328279,3.57125249003984,0.29450000000000004,4.755102040816326,61.0,0.5882352941176471,"{""Information Technology"": 0.14734848484848484, ""Industrials"": 0.12272727272727273, ""Financials"": 0.09583333333333333, ""Consumer Discretionary"": 0.09583333333333333, ""Health Care"": 0.0938131313131313, ""Materials"": 0.048989898989898986, ""Consumer Staples"": 0.0428030303030303, ""Communication"": 0.0422979797979798, ""Real Estate"": 0.04078282828282828, ""Utilities"": 0.04040404040404041, ""Energy"": 0.033207070707070706}"
final_comparison,previous_offensive_default,0.0,OOS Sample,qqq_plus_stock_alpha_v1,leadership_liquid,True,sector,sector,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,1.262463032742955,0.2121473401366376,-0.29918541026204715,0.26279834779912886,0.8666829365306828,1.1650030907323656,0.7090831733767512,3.955893145161291,12.253548387096775,16.0,0.7102500879348812,0.48020038032888507,1.0285627299152542,0.5920053610044367,-0.1244364943351901,0.3399248551319709,0.7102500879348812,0.13921634501497474,0.21468824806909304,0.48020038032888507,1.0285627299152542,0.5920053610044367,0.0956224277610892,0.09929658546354254,0.09818935210741536,1.0,3.57125249003984,0.29450000000000004,4.755102040816326,61.0,0.5882352941176471,"{""Information Technology"": 0.14734848484848484, ""Industrials"": 0.12272727272727273, ""Financials"": 0.09583333333333333, ""Consumer Discretionary"": 0.09583333333333333, ""Health Care"": 0.0938131313131313, ""Materials"": 0.048989898989898986, ""Consumer Staples"": 0.0428030303030303, ""Communication"": 0.0422979797979798, ""Real Estate"": 0.04078282828282828, ""Utilities"": 0.04040404040404041, ""Energy"": 0.033207070707070706}"
final_comparison,previous_offensive_default,0.0,2022,qqq_plus_stock_alpha_v1,leadership_liquid,True,sector,sector,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.1244364943351901,-0.12580521284639434,-0.17182148696144184,0.16324886462037996,-0.7351046152661415,-0.9698178923434266,-0.732185566957793,3.6929709141274234,12.141274238227146,16.0,0.3326213286072033,0.9058404104821239,0.46534241573101176,0.3930911721064508,-0.1244364943351901,0.3399248551319709,0.3326213286072033,-0.005603167019127714,0.2472125829325905,0.9058404104821239,0.46534241573101176,0.3930911721064508,,,,,3.57125249003984,0.29450000000000004,4.755102040816326,61.0,0.5882352941176471,"{""Information Technology"": 0.14734848484848484, ""Industrials"": 0.12272727272727273, ""Financials"": 0.09583333333333333, ""Consumer Discretionary"": 0.09583333333333333, ""Health Care"": 0.0938131313131313, ""Materials"": 0.048989898989898986, ""Consumer Staples"": 0.0428030303030303, ""Communication"": 0.0422979797979798, ""Real Estate"": 0.04078282828282828, ""Utilities"": 0.04040404040404041, ""Energy"": 0.033207070707070706}"
final_comparison,previous_offensive_default,0.0,2023+,qqq_plus_stock_alpha_v1,leadership_liquid,True,sector,sector,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2023-01-03,2026-04-02,1.5840079195912629,0.3399248551319709,-0.2991854102620468,0.28623720813390774,1.169892641741006,1.5955585195583344,1.136167886108623,4.04934335443038,12.329113924050633,16.0,1.013880486133207,0.3236080540517381,1.1532762101838279,0.9383200231745439,-0.1244364943351901,0.3399248551319709,1.013880486133207,0.062143370752214155,0.20357057888692737,0.3236080540517381,1.1532762101838279,0.9383200231745439,0.06978684754356006,0.07357748169482967,0.09818935210741629,1.0,3.57125249003984,0.29450000000000004,4.755102040816326,61.0,0.5882352941176471,"{""Information Technology"": 0.14734848484848484, ""Industrials"": 0.12272727272727273, ""Financials"": 0.09583333333333333, ""Consumer Discretionary"": 0.09583333333333333, ""Health Care"": 0.0938131313131313, ""Materials"": 0.048989898989898986, ""Consumer Staples"": 0.0428030303030303, ""Communication"": 0.0422979797979798, ""Real Estate"": 0.04078282828282828, ""Utilities"": 0.04040404040404041, ""Energy"": 0.033207070707070706}"
final_comparison,previous_offensive_default,5.0,Full Sample,qqq_plus_stock_alpha_v1,leadership_liquid,True,sector,sector,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,3.540847744904384,0.201400122193105,-0.37302695578168865,0.26724507860929086,0.8227997770027259,0.9735311016562492,0.5399076905074199,3.57125249003984,10.428784860557768,13.76277724204436,0.7224454759199508,0.12152407267662334,0.7830359923207508,0.4469057770289744,-0.12603304892957856,0.33721003156210183,0.7224454759199508,0.07986923044440271,0.21456910304979113,0.12152407267662334,0.7830359923207508,0.4469057770289744,0.05502248250447018,0.057407238345438955,0.09617880683407294,0.8741470811220622,3.57125249003984,0.29450000000000004,4.755102040816326,61.0,0.5882352941176471,"{""Information Technology"": 0.14734848484848484, ""Industrials"": 0.12272727272727273, ""Financials"": 0.09583333333333333, ""Consumer Discretionary"": 0.09583333333333333, ""Health Care"": 0.0938131313131313, ""Materials"": 0.048989898989898986, ""Consumer Staples"": 0.0428030303030303, ""Communication"": 0.0422979797979798, ""Real Estate"": 0.04078282828282828, ""Utilities"": 0.04040404040404041, ""Energy"": 0.033207070707070706}"
final_comparison,previous_offensive_default,5.0,OOS Sample,qqq_plus_stock_alpha_v1,leadership_liquid,True,sector,sector,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,1.2435263170833468,0.20974888847886253,-0.2995329938075524,0.2628133607208378,0.85908334174659,1.1548569200123198,0.7002530366108001,3.955893145161291,12.253548387096775,16.0,0.710224954397275,0.4709035102621802,1.0250100123047943,0.5953789597915741,-0.12603304892957856,0.33721003156210183,0.710224954397275,0.1372352147974206,0.21471301990587321,0.4709035102621802,1.0250100123047943,0.5953789597915741,0.09373670126190216,0.09737556410395153,0.0961788068340732,1.0,3.57125249003984,0.29450000000000004,4.755102040816326,61.0,0.5882352941176471,"{""Information Technology"": 0.14734848484848484, ""Industrials"": 0.12272727272727273, ""Financials"": 0.09583333333333333, ""Consumer Discretionary"": 0.09583333333333333, ""Health Care"": 0.0938131313131313, ""Materials"": 0.048989898989898986, ""Consumer Staples"": 0.0428030303030303, ""Communication"": 0.0422979797979798, ""Real Estate"": 0.04078282828282828, ""Utilities"": 0.04040404040404041, ""Energy"": 0.033207070707070706}"
final_comparison,previous_offensive_default,5.0,2022,qqq_plus_stock_alpha_v1,leadership_liquid,True,sector,sector,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.12603304892957856,-0.12741802093620191,-0.1724996894671298,0.16324381982197586,-0.7463514690393916,-0.9854407175772265,-0.7386565235555494,3.6929709141274234,12.141274238227146,16.0,0.3325267494448035,0.8982976804742948,0.4634625245991294,0.3951725994021438,-0.12603304892957856,0.33721003156210183,0.3325267494448035,-0.007467967505953544,0.24724863651701787,0.8982976804742948,0.4634625245991294,0.3951725994021438,,,,,3.57125249003984,0.29450000000000004,4.755102040816326,61.0,0.5882352941176471,"{""Information Technology"": 0.14734848484848484, ""Industrials"": 0.12272727272727273, ""Financials"": 0.09583333333333333, ""Consumer Discretionary"": 0.09583333333333333, ""Health Care"": 0.0938131313131313, ""Materials"": 0.048989898989898986, ""Consumer Staples"": 0.0428030303030303, ""Communication"": 0.0422979797979798, ""Real Estate"": 0.04078282828282828, ""Utilities"": 0.04040404040404041, ""Energy"": 0.033207070707070706}"
final_comparison,previous_offensive_default,5.0,2023+,qqq_plus_stock_alpha_v1,leadership_liquid,True,sector,sector,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2023-01-03,2026-04-02,1.5670608188736534,0.33721003156210183,-0.2995329938075525,0.2862564177916299,1.1627188397606212,1.5857128342904407,1.1257859352173956,4.04934335443038,12.329113924050633,16.0,1.0139139081909632,0.31359916373229385,1.149353079776146,0.9439433253941242,-0.12603304892957856,0.33721003156210183,1.0139139081909632,0.06010330694246767,0.2035911209592863,0.31359916373229385,1.149353079776146,0.9439433253941242,0.06784712380443976,0.07159401276549926,0.09617880683407413,1.0,3.57125249003984,0.29450000000000004,4.755102040816326,61.0,0.5882352941176471,"{""Information Technology"": 0.14734848484848484, ""Industrials"": 0.12272727272727273, ""Financials"": 0.09583333333333333, ""Consumer Discretionary"": 0.09583333333333333, ""Health Care"": 0.0938131313131313, ""Materials"": 0.048989898989898986, ""Consumer Staples"": 0.0428030303030303, ""Communication"": 0.0422979797979798, ""Real Estate"": 0.04078282828282828, ""Utilities"": 0.04040404040404041, ""Energy"": 0.033207070707070706}"
final_comparison,default_frozen_spec,0.0,Full Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,5.04373173920548,0.24378388574639698,-0.3235799419986797,0.28526152647898456,0.9098551224514431,1.0945329127057937,0.7533961599739446,3.4402863545816738,9.82246015936255,9.465766634522662,0.68015371577219,0.26653909497418743,0.8066245883572689,0.30104733276008794,-0.013910946960355441,0.4677035721380778,0.68015371577219,0.12772343058312424,0.24661590938458042,0.26653909497418743,0.8066245883572689,0.30104733276008794,0.10182485205745101,0.10110835013931299,0.16660212824515688,0.9537528430629265,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}"
final_comparison,default_frozen_spec,0.0,OOS Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,2.4241265156225213,0.33648495585783333,-0.3235799419986797,0.2990077864716931,1.1234625645574188,1.4857828333527416,1.0398819957116079,3.7066983870967745,11.075322580645162,10.570356472795497,0.7448225237790773,0.8439634287434008,1.203880330903692,0.3961854949622712,-0.013910946960355441,0.4677035721380778,0.7448225237790773,0.24306742874648618,0.25031249223159807,0.8439634287434008,1.203880330903692,0.3961854949622712,0.16795216126720344,0.16825988312290752,0.16660212824515716,1.0,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}"
