stage,scenario,selection_objective,universe_filter,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,group_normalization,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,selected_from_in_sample,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,period
in_sample_ranking,grid_h12_cap9_sector35_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,12.0,0.09,0.35,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0578319859790533,0.1980084576553218,-0.3803808385245307,0.2867995702283983,0.7739915518624473,0.823571429198108,0.5205531867046249,3.212731322823852,8.511651816312543,8.547619047619047,0.7516914027010949,-0.1966356425016027,0.5842364239396127,0.2102527417704085,-0.0966390183917742,0.3592096038048924,0.7516914027010949,0.0213262758635363,0.2286281844733793,-0.1966356425016027,0.5842364239396127,0.2102527417704085,,,,,,
in_sample_ranking,grid_h16_cap7_sector25_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,16.0,0.07,0.25,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0923146313871004,0.2030027691730564,-0.3730269557816886,0.2709705686594582,0.8181811574824336,0.8494744413128726,0.544204020719249,3.295135795065113,8.511651816312543,11.396825396825395,0.733065096959463,-0.2116859985026656,0.5820804810388293,0.1987034454054055,-0.1258042187377427,0.3378585871561093,0.733065096959463,0.0260208931469335,0.2136838581339644,-0.2116859985026656,0.5820804810388293,0.1987034454054055,,,,,,
in_sample_ranking,grid_h16_cap7_sector30_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,16.0,0.07,0.3,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0923146313871004,0.2030027691730564,-0.3730269557816886,0.2709705686594582,0.8181811574824336,0.8494744413128726,0.544204020719249,3.295135795065113,8.511651816312543,11.396825396825395,0.733065096959463,-0.2116859985026656,0.5820804810388293,0.1987034454054055,-0.1258042187377427,0.3378585871561093,0.733065096959463,0.0260208931469335,0.2136838581339644,-0.2116859985026656,0.5820804810388293,0.1987034454054055,,,,,,
in_sample_ranking,grid_h16_cap8_sector25_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,16.0,0.08,0.25,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0923146313871004,0.2030027691730564,-0.3730269557816886,0.2709705686594582,0.8181811574824336,0.8494744413128726,0.544204020719249,3.295135795065113,8.511651816312543,11.396825396825395,0.733065096959463,-0.2116859985026656,0.5820804810388293,0.1987034454054055,-0.1258042187377427,0.3378585871561093,0.733065096959463,0.0260208931469335,0.2136838581339644,-0.2116859985026656,0.5820804810388293,0.1987034454054055,,,,,,
in_sample_ranking,grid_h16_cap8_sector30_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,16.0,0.08,0.3,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0923146313871004,0.2030027691730564,-0.3730269557816886,0.2709705686594582,0.8181811574824336,0.8494744413128726,0.544204020719249,3.295135795065113,8.511651816312543,11.396825396825395,0.733065096959463,-0.2116859985026656,0.5820804810388293,0.1987034454054055,-0.1258042187377427,0.3378585871561093,0.733065096959463,0.0260208931469335,0.2136838581339644,-0.2116859985026656,0.5820804810388293,0.1987034454054055,,,,,,
in_sample_ranking,grid_h16_cap9_sector25_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,16.0,0.09,0.25,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0923146313871004,0.2030027691730564,-0.3730269557816886,0.2709705686594582,0.8181811574824336,0.8494744413128726,0.544204020719249,3.295135795065113,8.511651816312543,11.396825396825395,0.733065096959463,-0.2116859985026656,0.5820804810388293,0.1987034454054055,-0.1258042187377427,0.3378585871561093,0.733065096959463,0.0260208931469335,0.2136838581339644,-0.2116859985026656,0.5820804810388293,0.1987034454054055,,,,,,
in_sample_ranking,grid_h16_cap9_sector30_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,16.0,0.09,0.3,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0923146313871004,0.2030027691730564,-0.3730269557816886,0.2709705686594582,0.8181811574824336,0.8494744413128726,0.544204020719249,3.295135795065113,8.511651816312543,11.396825396825395,0.733065096959463,-0.2116859985026656,0.5820804810388293,0.1987034454054055,-0.1258042187377427,0.3378585871561093,0.733065096959463,0.0260208931469335,0.2136838581339644,-0.2116859985026656,0.5820804810388293,0.1987034454054055,,,,,,
in_sample_ranking,grid_h12_cap9_sector25_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,12.0,0.09,0.25,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0238895256677876,0.1930307319750988,-0.3931999645535218,0.2863390790206279,0.7604320368798918,0.7959429883550413,0.4909225569088873,3.212731322823852,8.511651816312543,8.547619047619047,0.7435860738700896,-0.2137470297591943,0.5746509112820142,0.2104289830639588,-0.0912869087778852,0.3731066369105571,0.7435860738700896,0.0192508518330409,0.2301575153578217,-0.2137470297591943,0.5746509112820142,0.2104289830639588,,,,,,
in_sample_ranking,grid_h12_cap9_sector30_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,12.0,0.09,0.3,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0238895256677876,0.1930307319750988,-0.3931999645535218,0.2863390790206279,0.7604320368798918,0.7959429883550413,0.4909225569088873,3.212731322823852,8.511651816312543,8.547619047619047,0.7435860738700896,-0.2137470297591943,0.5746509112820142,0.2104289830639588,-0.0912869087778852,0.3731066369105571,0.7435860738700896,0.0192508518330409,0.2301575153578217,-0.2137470297591943,0.5746509112820142,0.2104289830639588,,,,,,
in_sample_ranking,grid_h16_cap7_sector35_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,16.0,0.07,0.35,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0806581947723632,0.2013214534551111,-0.3628084833017105,0.2676115905676269,0.8197716614013926,0.8583541910540873,0.5548973155836953,3.301394362577108,8.511651816312543,11.396825396825395,0.7221965871469281,-0.2238196031762735,0.5764239212923272,0.1986790868908896,-0.1258042187377427,0.333315027336676,0.7221965871469281,0.026599484103281,0.212476903263527,-0.2238196031762735,0.5764239212923272,0.1986790868908896,,,,,,
