strategy,avg_names_held,risk_on_avg_names,risk_on_target_stock_weight,risk_on_realized_stock_weight,risk_on_fill_rate,soft_defense_realized_stock_weight,hard_defense_realized_stock_weight,underfilled_month_share,avg_top1_stock_weight,avg_top3_stock_weight,avg_top5_stock_weight,avg_safe_haven_weight,avg_theoretical_stock_max,risk_on_geometry_feasible_share,selected_count_distribution_json,dominant_underfill_reason
center_current,6.505050505050505,8.0,1.0,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.0,0.8484848484848485,0.06616161616161616,0.19848484848484846,0.33080808080808083,0.4404040404040404,0.5595959595959595,0.0,"{""0"": 0.26262626262626265, ""8"": 0.5858585858585859, ""12"": 0.15151515151515152}",sector_cap_binding
local_stable_neighbor,6.505050505050505,8.0,1.0,0.6400000000000001,0.6400000000000001,0.5999999999999999,0.0,0.8484848484848485,0.05444444444444444,0.1633333333333333,0.2722222222222222,0.5341414141414141,0.5595959595959595,0.0,"{""0"": 0.26262626262626265, ""8"": 0.5858585858585859, ""12"": 0.15151515151515152}",sector_cap_binding
feasible_two_sector_50cap,8.848484848484848,12.0,1.0,1.0,1.0,0.5999999999999999,0.0,0.26262626262626265,0.0563973063973064,0.16919191919191912,0.28198653198653195,0.32323232323232315,0.6767676767676765,1.0,"{""0"": 0.26262626262626265, ""12"": 0.7373737373737373}",hard_defense_zero_stock
coherent_cash_buffer_branch,5.898989898989899,8.0,0.7999999999999998,0.7999999999999998,1.0,0.5999999999999999,0.0,0.26262626262626265,0.06994949494949494,0.2098484848484849,0.34974747474747475,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""8"": 0.7373737373737373}",hard_defense_zero_stock
coherent_full_deployment_branch,7.373737373737374,10.0,1.0,1.0,1.0,0.5999999999999999,0.0,0.26262626262626265,0.06767676767676765,0.20303030303030303,0.33838383838383823,0.32323232323232315,0.6767676767676765,1.0,"{""0"": 0.26262626262626265, ""10"": 0.7373737373737373}",hard_defense_zero_stock
coherent_full_deployment_branch_single8,7.373737373737374,10.0,1.0,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.0,0.26262626262626265,0.055959595959595945,0.16787878787878785,0.27979797979797977,0.4404040404040404,0.5595959595959595,0.0,"{""0"": 0.26262626262626265, ""10"": 0.7373737373737373}",hard_defense_zero_stock
