strategy,display_name,cost_bps_one_way,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Beta vs QQQ,Information Ratio vs QQQ,Turnover/Year,2020 Return,2022 Return,2023 Return,2023+ CAGR,Average QQQ Weight,Average TQQQ Weight,Average BOXX Weight,Average Cash Weight,TQQQ Days Share,family,execution_mode,description,known_limitation,overlay,overlay_description,idle_asset,entry_confirm_days,exit_confirm_days,income_mode,safe_haven_symbols,qqq_idle_mode,qqq_idle_fraction
video_like_next_close,video_like_next_close,0.0,2017-01-03,2026-04-10,8.936326312589827,0.2812532218001233,-0.3131154596201555,0.2915188896815889,0.99916873831833,0.9133045463892572,0.3951160228208384,2.719946808510638,0.802114106346647,-0.2078899536407674,0.5135809123181858,0.2955775191172372,0.3671459227467811,0.3671459227467811,0.0,0.2657081545064377,0.8158798283261802,video_qqq_tqqq_dual_drive,next_close,Transcript reconstruction: hold 45% QQQ + 45% TQQQ + 10% cash when QQQ is above MA200 and MA20 slope is positive; otherwise cash. Trades take effect on the next close-to-close return.,Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
video_like_next_close,video_like_next_close,5.0,2017-01-03,2026-04-10,8.811672071244345,0.2795085299894142,-0.3164257330950615,0.2915318087170237,0.994450024832122,0.9133005355401802,0.388426233879117,2.719946808510638,0.8004944309540223,-0.2096920292598805,0.5102196540781665,0.2939877463984202,0.3671459227467811,0.3671459227467811,0.0,0.2657081545064377,0.8158798283261802,video_qqq_tqqq_dual_drive,next_close,Transcript reconstruction: hold 45% QQQ + 45% TQQQ + 10% cash when QQQ is above MA200 and MA20 slope is positive; otherwise cash. Trades take effect on the next close-to-close return.,Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
video_like_next_close,video_like_next_close,10.0,2017-01-03,2026-04-10,8.688526461571074,0.2777654282644861,-0.3201342321158713,0.2915468052986256,0.9897246767678508,0.9132965246911032,0.3817322054099331,2.719946808510638,0.7988754837407215,-0.2114908237769188,0.5068643697555388,0.2923992169130511,0.3671459227467811,0.3671459227467811,0.0,0.2657081545064377,0.8158798283261802,video_qqq_tqqq_dual_drive,next_close,Transcript reconstruction: hold 45% QQQ + 45% TQQQ + 10% cash when QQQ is above MA200 and MA20 slope is positive; otherwise cash. Trades take effect on the next close-to-close return.,Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
video_like_no_slope_next_close,video_like_no_slope_next_close,0.0,2017-01-03,2026-04-10,7.476124364831378,0.2594601136525822,-0.3762236827323634,0.2976182234000105,0.9270708697039204,0.9518256839455294,0.3217136691170648,3.88563829787234,0.6625016763623599,-0.2845629717030655,0.6503639165026966,0.321463893164442,0.3717811158798283,0.3717811158798283,0.0,0.2564377682403433,0.8261802575107297,video_qqq_tqqq_dual_drive,next_close,Same as video_like_next_close but does not wait for positive MA20 slope after reclaiming MA200.,Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
video_like_no_slope_next_close,video_like_no_slope_next_close,5.0,2017-01-03,2026-04-10,7.324212088496663,0.2570040635972808,-0.3804546987564778,0.2976525663344871,0.920423457002665,0.9519718115433912,0.3121421705032867,3.88563829787234,0.659450168344649,-0.287483462361133,0.6467233666520644,0.3194800814066221,0.3717811158798283,0.3717811158798283,0.0,0.2564377682403433,0.8261802575107297,video_qqq_tqqq_dual_drive,next_close,Same as video_like_next_close but does not wait for positive MA20 slope after reclaiming MA200.,Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
video_like_no_slope_next_close,video_like_no_slope_next_close,10.0,2017-01-03,2026-04-10,7.17495552975849,0.2545516947337656,-0.3846589180265972,0.2976897976337394,0.9137687120540868,0.9521179391412532,0.3025656083447609,3.88563829787234,0.6564028612070147,-0.2903933515458453,0.6430892437195141,0.3174983640588928,0.3717811158798283,0.3717811158798283,0.0,0.2564377682403433,0.8261802575107297,video_qqq_tqqq_dual_drive,next_close,Same as video_like_next_close but does not wait for positive MA20 slope after reclaiming MA200.,Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
video_like_pullback_next_close,video_like_pullback_next_close,0.0,2017-01-03,2026-04-10,14.28683845895107,0.3422351705573396,-0.3138438807453992,0.3059447795545301,1.118417408535273,1.006606050729866,0.6521596151434426,3.88563829787234,0.8002030166248764,-0.1100868464850796,0.6693569357471942,0.387695771305117,0.3878111587982833,0.3878111587982833,0.0,0.2243776824034334,0.8618025751072962,video_qqq_tqqq_dual_drive,next_close,"Adds a speculative below-MA200 pullback state: if QQQ is below MA200 but above MA20 with positive MA20 slope, use the same 45/45/10 risk-on weights. This approximates the video's 'low buy/high sell below MA200' comment, but the exact rule is not disclosed.",Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
video_like_pullback_next_close,video_like_pullback_next_close,5.0,2017-01-03,2026-04-10,14.014016451600693,0.3396288205490001,-0.3147701022236385,0.3059543809239417,1.1120193322970306,1.0067007581975045,0.6425602601423847,3.88563829787234,0.7969658376807238,-0.1168382745770355,0.6670917455196999,0.3863573220986538,0.3878111587982833,0.3878111587982833,0.0,0.2243776824034334,0.8618025751072962,video_qqq_tqqq_dual_drive,next_close,"Adds a speculative below-MA200 pullback state: if QQQ is below MA200 but above MA20 with positive MA20 slope, use the same 45/45/10 risk-on weights. This approximates the video's 'low buy/high sell below MA200' comment, but the exact rule is not disclosed.",Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
video_like_pullback_next_close,video_like_pullback_next_close,10.0,2017-01-03,2026-04-10,13.74594382104727,0.3370263607108343,-0.3156954898077262,0.3059667960750276,1.10561148991331,1.0067954656651426,0.632946631099376,3.88563829787234,0.7937330265923963,-0.1235414745456321,0.6648286051849741,0.3850195617234926,0.3878111587982833,0.3878111587982833,0.0,0.2243776824034334,0.8618025751072962,video_qqq_tqqq_dual_drive,next_close,"Adds a speculative below-MA200 pullback state: if QQQ is below MA200 but above MA20 with positive MA20 slope, use the same 45/45/10 risk-on weights. This approximates the video's 'low buy/high sell below MA200' comment, but the exact rule is not disclosed.",Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
video_like_overheat_next_close,video_like_overheat_next_close,0.0,2017-01-03,2026-04-10,8.936326312589827,0.2812532218001233,-0.3131154596201555,0.2915188896815889,0.99916873831833,0.9133045463892572,0.3951160228208384,2.719946808510638,0.802114106346647,-0.2078899536407674,0.5135809123181858,0.2955775191172372,0.3671459227467811,0.3671459227467811,0.0,0.2657081545064377,0.8158798283261802,video_qqq_tqqq_dual_drive,next_close,"Adds a speculative TQQQ overheat exit: when TQQQ closes above 2.2x its MA200, drop TQQQ and keep 45% QQQ / 55% cash until the normal trend condition resumes without overheat.",Approximate reconstruction; exact video state machine and high-exit logic are not public.,,,,,,,,,
