experiment_group,cost_bps_one_way,period,scenario,universe_filter,leadership_only,group_normalization,group_normalization_label,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_positive_ratio,strategy,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,annual_turnover,average_monthly_turnover,average_names_replaced_per_rebalance,median_holding_duration_days,top5_continuity,avg_sector_weights_json,spy_sanity_full_cagr,spy_sanity_full_ir_vs_qqq,spy_sanity_full_maxdd,spy_sanity_oos_cagr,spy_sanity_oos_cagr_minus_qqq,spy_sanity_oos_maxdd,spy_sanity_pass
v1_1_local_grid,5.0,Full Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold05,leadership_liquid,True,sector,sector,12,0.08,0.25,0.05,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,4.34220985026497,0.22531298747301887,-0.36857871561831357,0.2721044547521774,0.8855560059926452,1.0610033762564457,0.6113022210060134,3.7264716135458165,10.428784860557768,10.322082931533268,0.719874322427264,0.21310103401158553,0.8222127459449612,0.40793039755707844,-0.09231362836283519,0.40836235828365175,0.719874322427264,0.10144209875675567,0.2212558684673557,0.21310103401158553,0.8222127459449612,0.40793039755707844,0.9128127369219106,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2022,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold05,leadership_liquid,True,sector,sector,12,0.08,0.25,0.05,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.09231362836283519,-0.09334805126691026,-0.15711833341206438,0.16837008787384872,-0.49297132337388094,-0.6723355164602971,-0.594125772847222,3.6626177285318557,12.141274238227146,12.0,0.3390662347749066,1.052331200331433,0.453193889935718,0.33088268608013494,-0.09231362836283519,0.40836235828365175,0.3390662347749066,0.033616863703277926,0.2479623490223154,1.052331200331433,0.453193889935718,0.33088268608013494,0.9128127369219106,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2023+,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold05,leadership_liquid,True,sector,sector,12,0.08,0.25,0.05,qqq_breadth,QQQ,broad,0.6,0.0,2023-01-03,2026-04-02,2.037260668958375,0.40836235828365175,-0.32992913722670747,0.2941701532102519,1.3162728425904826,1.791107403977896,1.2377274760157049,4.1487468354430375,12.329113924050633,12.0,1.0319689330168857,0.5596548004262546,1.31053393987873,0.9576864694213283,-0.09231362836283519,0.40836235828365175,1.0319689330168857,0.10961914458784591,0.21123460209531542,0.5596548004262546,1.31053393987873,0.9576864694213283,0.9128127369219106,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,OOS Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold05,leadership_liquid,True,sector,sector,12,0.08,0.25,0.05,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,1.7568801163230923,0.2699374852555243,-0.32992913722670736,0.2701725206571242,1.023393275941539,1.380463549364143,0.818168069436194,4.02481935483871,12.253548387096775,12.0,0.7232060135378153,0.6886439914328727,1.1551093012518814,0.5595576102285109,-0.09231362836283519,0.40836235828365175,0.7232060135378153,0.18633103389486852,0.22046700103741002,0.6886439914328727,1.1551093012518814,0.5595576102285109,1.0,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,Full Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold10,leadership_liquid,True,sector,sector,12,0.08,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,3.832172332490414,0.21049357594282658,-0.38013419941113513,0.27274281180828996,0.839376516179911,1.004169992881757,0.5537349080111751,3.659775896414342,10.428784860557768,10.322082931533268,0.719548777099127,0.1581099644362762,0.8019585384719113,0.4311894108051275,-0.09343128844019188,0.3685808747558319,0.719548777099127,0.08947537098546728,0.22212408624815197,0.1581099644362762,0.8019585384719113,0.4311894108051275,0.909021986353298,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2022,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold10,leadership_liquid,True,sector,sector,12,0.08,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.09343128844019188,-0.09447757249234512,-0.15711833341206416,0.16836510389067874,-0.5003356871472027,-0.6822547847009102,-0.6013147571045376,3.6929709141274234,12.141274238227146,12.0,0.33915154819206095,1.0475046903455334,0.453193889935718,0.33288447882734984,-0.09343128844019188,0.3685808747558319,0.33915154819206095,0.03240876150103391,0.24792354045401363,1.0475046903455334,0.453193889935718,0.33288447882734984,0.909021986353298,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2023+,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold10,leadership_liquid,True,sector,sector,12,0.08,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2023-01-03,2026-04-02,1.7676395122915225,0.3685808747558319,-0.32992913722670736,0.29386268817783495,1.2193980973015865,1.660806813565856,1.1171516339963796,4.068607594936709,12.329113924050633,12.0,1.0309633826000986,0.4234521221477242,1.2407647127851162,0.9990419420679126,-0.09343128844019188,0.3685808747558319,1.0309633826000986,0.08101704637826725,0.21099404977890124,0.4234521221477242,1.2407647127851162,0.9990419420679126,0.909021986353298,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,OOS Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold10,leadership_liquid,True,sector,sector,12,0.08,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,1.5090553867201288,0.2420602321332579,-0.32992913722670725,0.2698824699131581,0.9416214395979067,1.2705109980775435,0.7336734008034241,3.970620967741936,12.253548387096775,12.0,0.7224679606489903,0.5876570541057172,1.0979883307153016,0.5759166867144698,-0.09343128844019188,0.3685808747558319,0.7224679606489903,0.1640574254111526,0.22029456385549911,0.5876570541057172,1.0979883307153016,0.5759166867144698,1.0,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,Full Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold15,leadership_liquid,True,sector,sector,12,0.08,0.25,0.15,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,3.9670425431558147,0.21454124514964645,-0.3801341994111349,0.27251016536111555,0.8521758718293271,1.0156837695537988,0.5643829086727578,3.4912176294820716,10.428784860557768,10.322082931533268,0.7185931755755478,0.17296479554627128,0.8092160143093813,0.4271383686403106,-0.08724818622915353,0.36366173320859696,0.7185931755755478,0.09295325638451321,0.22208396694844615,0.17296479554627128,0.8092160143093813,0.4271383686403106,0.9203942380591357,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2022,v11_leadership_liquid_norm_sector_h12_cap8_sector25_hold15,leadership_liquid,True,sector,sector,12,0.08,0.25,0.15,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.08724818622915353,-0.0882286472391981,-0.15711833341206416,0.16705652923066855,-0.4647415112697141,-0.6311864906000517,-0.5615426622926715,3.6929709141274234,12.141274238227146,12.0,0.33662516382160546,1.0734203209002682,0.45309680684830134,0.3225021065106274,-0.08724818622915353,0.36366173320859696,0.33662516382160546,0.038140802587998485,0.24808738233493055,1.0734203209002682,0.45309680684830134,0.3225021065106274,0.9203942380591357,,,,,,,,,,,,,,,,,
