comparison_layer,strategy,display_name,as_of,rolling_36m_capm_alpha_vs_qqq
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-12,0.08044357092538794
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-13,0.07740418537019159
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-14,0.08360722910923263
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-15,0.08399764887348794
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-16,0.08819978587728666
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-19,0.08721905082617971
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-20,0.08042573828768473
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-21,0.08655041054098438
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-22,0.08381216402593604
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-23,0.09086650320411006
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-26,0.0893880885099366
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-27,0.09273587987481953
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-28,0.08990727188717298
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-29,0.09018785657052718
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-04-30,0.08588043646740788
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-03,0.09230747021404802
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-04,0.0917065759088453
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-05,0.09226774591740056
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-06,0.09363536516190878
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-07,0.09965762609843683
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-10,0.09409868905898491
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-11,0.09386617644931387
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-12,0.08276006861949159
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-13,0.08581558090029377
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-14,0.09372788310139787
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-17,0.09306740313318404
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-18,0.08923936952885825
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-19,0.08427138849584774
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-20,0.08106663539770934
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-21,0.08197546583183776
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-24,0.08389063660737274
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-25,0.08245201509474077
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-26,0.08713394389387093
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-27,0.09318031221329164
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-05-28,0.09197840964743789
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-01,0.09706211794197067
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-02,0.09518043443530565
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-03,0.09603154186915124
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-04,0.09600883960971517
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-07,0.09833720206361074
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-08,0.10069681334318413
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-09,0.09538679504561892
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-10,0.09154408125004775
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-11,0.09522433781951724
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-14,0.08880721990342585
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-15,0.08980603111649141
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-16,0.08876779240904287
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-17,0.07791055269448291
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-18,0.07117938707558981
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-21,0.07985348915846258
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-22,0.08105158346065847
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-23,0.08212527298981301
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-24,0.08528937176024468
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-25,0.0842552877783322
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-28,0.07946233048988198
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-29,0.07607883558833275
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-06-30,0.07992688971747824
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-01,0.07947700607782632
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-02,0.0774612138768809
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-06,0.06940302648766211
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-07,0.06866041441495951
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-08,0.06731665692035792
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-09,0.07573057934176555
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-12,0.07715781724295592
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-13,0.06997694083678688
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-14,0.06894039086857803
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-15,0.0693471269271436
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-16,0.06534014688373438
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-19,0.06224334314749876
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-20,0.07246369600161129
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-21,0.07731598759994036
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-22,0.07199055791050638
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-23,0.07277816828609335
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-26,0.07467947704669096
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-27,0.07457810184237756
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-28,0.07526513649781702
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-29,0.07411985026915867
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-07-30,0.07015295064153691
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-02,0.06931899926871508
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-03,0.07442469903669509
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-04,0.07386081075155963
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-05,0.07524788363372681
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-06,0.07755669367095787
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-09,0.08113898774099032
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-10,0.08457000534483478
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-11,0.08389404344640364
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-12,0.08417533274923394
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-13,0.08344114670716118
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-16,0.08130289475949748
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-17,0.0748130637127568
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-18,0.07227371483890645
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-19,0.06549455137141946
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-20,0.06690723908930324
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-23,0.07229444677948663
