strategy,avg_names_held,risk_on_avg_names,risk_on_target_stock_weight,risk_on_realized_stock_weight,risk_on_fill_rate,soft_defense_realized_stock_weight,hard_defense_realized_stock_weight,underfilled_month_share,avg_top1_stock_weight,avg_top3_stock_weight,avg_top5_stock_weight,avg_safe_haven_weight,avg_theoretical_stock_max,risk_on_geometry_feasible_share,selected_count_distribution_json,dominant_underfill_reason
center_current,6.505050505050505,8.0,1.0,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.0,0.8484848484848485,0.06616161616161616,0.19848484848484846,0.33080808080808083,0.4404040404040404,0.5595959595959595,0.0,"{""0"": 0.26262626262626265, ""8"": 0.5858585858585859, ""12"": 0.15151515151515152}",sector_cap_binding
local_stable_neighbor,6.505050505050505,8.0,1.0,0.6400000000000001,0.6400000000000001,0.5999999999999999,0.0,0.8484848484848485,0.05444444444444444,0.1633333333333333,0.2722222222222222,0.5341414141414141,0.5595959595959595,0.0,"{""0"": 0.26262626262626265, ""8"": 0.5858585858585859, ""12"": 0.15151515151515152}",sector_cap_binding
explicit_cash_buffer_control,8.848484848484848,12.0,0.7999999999999998,0.7999999999999998,0.9999999999999999,0.5999999999999999,0.0,0.26262626262626265,0.046632996632996616,0.13989898989898988,0.23316498316498316,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""12"": 0.7373737373737373}",hard_defense_zero_stock
feasible_two_sector_50cap,8.848484848484848,12.0,1.0,1.0,1.0,0.5999999999999999,0.0,0.26262626262626265,0.0563973063973064,0.16919191919191912,0.28198653198653195,0.32323232323232315,0.6767676767676765,1.0,"{""0"": 0.26262626262626265, ""12"": 0.7373737373737373}",hard_defense_zero_stock
feasible_two_sector_50cap_single8,8.848484848484848,12.0,1.0,0.9599999999999999,0.9599999999999999,0.5999999999999999,0.0,0.26262626262626265,0.05444444444444444,0.1633333333333333,0.2722222222222222,0.3466666666666666,0.6533333333333332,0.0,"{""0"": 0.26262626262626265, ""12"": 0.7373737373737373}",hard_defense_zero_stock
