comparison_layer,strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,research_group,group_normalization,data_assumption,starting_equity,income_layer,universe_filter,holdings_count,single_name_cap,sector_cap,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,hold_bonus,residual_proxy,selected_candidate_name
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,0.0,Full Sample,2018-01-02,2026-04-02,2.538178055078061,0.16559516064907287,-0.2730484175464801,0.201047263416303,0.8646969497235207,1.0403792239790637,0.6064681206983525,3.926457710823373,10.428784860557768,20.644165863066537,0.465194740890812,-0.09477785794590755,0.598793783846912,0.29026588732355324,-0.13824001776887718,0.3103099651215735,baseline,sector,official_monthly_v2_alias,,,,,,,,,,,,,,
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,0.0,2018-2021,2018-01-02,2021-12-31,0.7084037215509504,0.14347674326174187,-0.17656242285118695,0.18016556946826442,0.8337721968719933,0.9115730784343474,0.8126119983223675,3.293049605894448,8.511651816312543,17.095238095238095,0.3650809320482174,-0.5298224891798777,0.3909418422927328,0.10436733241621764,-0.13824001776887718,0.3103099651215735,baseline,sector,official_monthly_v2_alias,,,,,,,,,,,,,,
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,0.0,2022,2022-01-03,2022-12-30,-0.13824001776887718,-0.13974811002293708,-0.17144434318856605,0.11751977166385677,-1.211817355665259,-1.3557589284939886,-0.8151223156382167,3.3304189750692523,12.141274238227146,24.0,0.19685462326922137,0.7299165037284122,0.19385504959766817,0.306693043438917,-0.13824001776887718,0.3103099651215735,baseline,sector,official_monthly_v2_alias,,,,,,,,,,,,,,
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,0.0,2023+,2023-01-03,2026-04-02,1.403271592329042,0.3103099651215735,-0.25408275519467394,0.24139556176087082,1.2447110572520121,1.6850627853586875,1.2212948686101077,4.911097046413502,12.329113924050633,24.0,0.8670855219328018,0.18374693566277095,0.9721199904089248,0.5878754010980801,-0.13824001776887718,0.3103099651215735,baseline,sector,official_monthly_v2_alias,,,,,,,,,,,,,,
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,5.0,Full Sample,2018-01-02,2026-04-02,2.48139574393527,0.16331062031314847,-0.2761975873275607,0.20104565807249608,0.8549194866751278,1.0286443089448685,0.5912818496834578,3.926457710823373,10.428784860557768,20.644165863066537,0.46509784516337177,-0.10410205134694388,0.5952102045511949,0.2935293809632506,-0.13965933707208145,0.3070940420390593,baseline,sector,official_monthly_v2_alias,,,,,,,,,,,,,,
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,5.0,2018-2021,2018-01-02,2021-12-31,0.6972370111940172,0.14160104144213892,-0.17694874335534772,0.18014277435565407,0.8247501036571664,0.9015785458998371,0.8002376211159427,3.293049605894448,8.511651816312543,17.095238095238095,0.36493999206901384,-0.5372388035953947,0.38783447963700707,0.10683984403062798,-0.13965933707208145,0.3070940420390593,baseline,sector,official_monthly_v2_alias,,,,,,,,,,,,,,
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,5.0,2022,2022-01-03,2022-12-30,-0.13965933707208145,-0.14118161178774558,-0.17144434318856616,0.11753290830641766,-1.22574087079287,-1.371223647029373,-0.8234836400082587,3.3304189750692523,12.141274238227146,24.0,0.1967769007962861,0.723841054528833,0.1924677148740013,0.3086799274729044,-0.13965933707208145,0.3070940420390593,baseline,sector,official_monthly_v2_alias,,,,,,,,,,,,,,
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,5.0,2023+,2023-01-03,2026-04-02,1.3841877406842245,0.3070940420390593,-0.2543933164893192,0.24141291820070146,1.2344178357685558,1.6712222513704722,1.207162382553996,4.911097046413502,12.329113924050633,24.0,0.867060631371347,0.16933796785652044,0.967400192913927,0.5947494994119499,-0.13965933707208145,0.3070940420390593,baseline,sector,official_monthly_v2_alias,,,,,,,,,,,,,,
full_strategy,hybrid_growth_income,hybrid_growth_income::full,0.0,Full Sample,2018-01-02,2026-04-02,1.472866283763087,0.11604434513406292,-0.18934591220567454,0.1348724023181881,0.8834240891259706,0.9853468967797099,0.6128695559480115,0.5542480511406154,4.850597609561753,2.7005785920925747,0.4102860618461605,-0.44284481184172975,0.5696550203975694,0.5080555898315559,-0.07714618234015447,0.17002155809370523,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,hybrid_growth_income,hybrid_growth_income::full,0.0,2018-2021,2018-01-02,2021-12-31,0.6099883772858825,0.12661768291717412,-0.18934591220567454,0.12569391964076423,1.010556253529067,0.993423819813915,0.6687109398994434,0.7091383163106915,5.006854009595614,2.6726190476190474,0.3647349528174397,-0.783225115793063,0.50452181216028,0.5241259394216244,-0.07714618234015447,0.17002155809370523,etf_full,,,200000.0,on,,,,,,,,,,,,
