strategy,cost_bps_one_way,period,family,universe,normalization,normalization_label,min_adv20_usd,leadership_filter,sector_whitelist,symbol_whitelist,score_template,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,breadth_symbols,soft_defense_exposure,hard_defense_exposure,notes,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,annual_turnover,average_monthly_turnover,average_names_replaced_per_rebalance,median_holding_duration_days,top5_continuity,avg_sector_weights_json,variant_scope,change_count,change_1_field,change_1_value,change_2_field,change_2_value,change_summary,delta_oos_cagr_vs_center,delta_oos_maxdd_vs_center,delta_oos_turnover_vs_center,abs_delta_oos_cagr_vs_center,within_50bps,within_100bps,within_200bps
tech_heavy_pullback_balanced_focused_qqq_breadth,5.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2022-01-03,2026-04-02,2.20245135974008,0.3155716776716817,-0.1841129708630962,0.21839400709387893,1.3696922975287686,1.792701861378311,1.7140111106367206,3.157645161290324,9.661451612903226,6.975609756097561,0.4963661250001883,0.7955414730177252,0.9806460420570496,0.17786396193063933,-0.11420526158137101,0.4860629363265818,0.4963661250001883,0.2372508945143636,0.21930111648926118,0.7955414730177252,0.9806460420570496,0.17786396193063933,0.18983633317227952,0.18649031208953404,0.25289382088754697,1.0,2.9588645418326696,0.24400000000000002,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}",center,0,,,,,center,0.0,0.0,0.0,0.0,True,True,True
tech_heavy_pullback_balanced_focused_qqq_breadth__holdings_count_16,5.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,16,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2022-01-03,2026-04-02,1.3333841456373783,0.22099582096595705,-0.20915762538147342,0.2285018604908204,0.9913479988407701,1.2324669737355187,1.0565993975256338,4.1395,10.132741935483871,10.02626641651032,0.5382475314862212,0.46473879219173575,0.89773035830311,0.3783505939512784,-0.15541685999073596,0.3678373569952089,0.5382475314862212,0.1594218351332263,0.21916699820124938,0.46473879219173575,0.89773035830311,0.3783505939512784,0.11002735706496947,0.10149586597032331,0.15860135195900307,1.0,3.5530627490039834,0.293,3.1122448979591835,60.0,0.6472222222222221,"{""Information Technology"": 0.34898989898989896, ""Communication"": 0.3277777777777777}",first_order,1,holdings_count,16.0,,,holdings_count:12->16,-0.09457585670572466,-0.02504465451837723,0.9818548387096762,0.09457585670572466,False,False,False
tech_heavy_pullback_balanced_focused_qqq_breadth__single_name_cap_0p08,5.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.08,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2022-01-03,2026-04-02,1.8967836903515383,0.2848377435877123,-0.16377679463430528,0.1858418554535311,1.4465118020242989,1.8886846728067557,1.7391825516168038,2.5072645161290326,9.661451612903226,6.975609756097561,0.42492026031350083,0.6972752978657276,0.8510838281835104,0.11598567726943912,-0.0962225707211738,0.4319190511353015,0.42492026031350083,0.21584785948590363,0.20673754192673982,0.6972752978657276,0.8510838281835104,0.11598567726943912,0.16823122161431606,0.16397638582103893,0.23369857820548962,1.0,2.3646663346613543,0.19500000000000003,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.247070707070707, ""Communication"": 0.21878787878787878}",first_order,1,single_name_cap,0.08,,,single_name_cap:0.1->0.08,-0.030733934083969405,0.020336176228790914,-0.6503806451612912,0.030733934083969405,False,False,False
tech_heavy_pullback_balanced_focused_qqq_breadth__sector_cap_0p3,5.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.3,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2022-01-03,2026-04-02,1.760145027734949,0.2702917255161432,-0.18575491296087598,0.1806499509464182,1.419377277775736,1.933947316793816,1.4550986631135432,2.415362903225807,9.425806451612903,5.887429643527205,0.40085279367891186,0.6318876812614146,0.8247167334937467,0.13423470505950133,-0.08893068259897063,0.40726170562166963,0.40085279367891186,0.2064363358418824,0.2084879693255403,0.6318876812614146,0.8247167334937467,0.13423470505950133,0.18629565174145252,0.18881132985421434,0.2238837564565397,1.0,2.3100971115537847,0.1905,1.969387755102041,33.0,0.6361111111111111,"{""Communication"": 0.22121212121212128, ""Information Technology"": 0.22121212121212128}",first_order,1,sector_cap,0.3,,,sector_cap:0.4->0.3,-0.04527995215553848,-0.0016419420977797916,-0.7422822580645168,0.04527995215553848,False,False,False
tech_heavy_pullback_balanced_focused_qqq_breadth__sector_cap_0p5,5.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.5,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2022-01-03,2026-04-02,1.6920488895385644,0.26283603042061765,-0.21265920912904945,0.23538509981922562,1.1128602366284936,1.3962780498951908,1.2359494399375812,4.072733870967743,9.89709677419355,9.151969981238274,0.5527817626785896,0.6161675795589846,0.9604696568059502,0.31544151113381064,-0.16440109123142688,0.4341876236208575,0.5527817626785896,0.1930357161903684,0.222798580031218,0.6161675795589846,0.9604696568059502,0.31544151113381064,0.12071619826717259,0.10776712864894566,0.20607521293000344,1.0,3.512641102257636,0.2896666666666667,2.938775510204082,60.5,0.6472222222222221,"{""Information Technology"": 0.36262626262626263, ""Communication"": 0.3141414141414141}",first_order,1,sector_cap,0.5,,,sector_cap:0.4->0.5,-0.052735647251064055,-0.02854623826595326,0.915088709677419,0.052735647251064055,False,False,False
tech_heavy_pullback_balanced_focused_qqq_breadth__hold_bonus_0p1,5.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2022-01-03,2026-04-02,2.2397174740245753,0.3191632286571864,-0.18411297086309653,0.21861971335583152,1.3810276050682884,1.803218300110702,1.7335184325199504,3.0162580645161303,9.661451612903226,6.975609756097561,0.4963032521648787,0.8073661435464624,0.9777285369624628,0.16209061350239212,-0.11420526158137101,0.49137178707991214,0.4963032521648787,0.24004600265013537,0.21954153574150792,0.8073661435464624,0.9777285369624628,0.16209061350239212,0.1938727030359596,0.19045397088077687,0.2583059266795205,1.0,2.801220119521912,0.23100000000000004,2.1020408163265305,61.0,0.6555555555555556,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}",first_order,1,hold_bonus,0.1,,,hold_bonus:0.05->0.1,0.0035915509855046768,-3.3306690738754696e-16,-0.14138709677419348,0.0035915509855046768,True,True,True
tech_heavy_pullback_balanced_focused_qqq_breadth__adv20m,5.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,20000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,2022-01-03,2026-04-02,1.847388814740575,0.2796411089791744,-0.19835284956222277,0.21463598052266947,1.2603420782376868,1.6072188577257365,1.4098164437584835,3.0516048387096784,9.661451612903226,6.675422138836773,0.46557417005488244,0.6533518445991597,0.9135384401216619,0.2013737459326576,-0.13850363889430628,0.44553909583748563,0.46557417005488244,0.21247187920314245,0.2232262797840149,0.6533518445991597,0.9135384401216619,0.2013737459326576,0.17039360394249362,0.17277019059914933,0.21631070620478185,1.0,2.8861055776892433,0.23800000000000004,2.204081632653061,60.0,0.6394366197183098,"{""Information Technology"": 0.29040404040404033, ""Communication"": 0.26515151515151514}",first_order,1,min_adv20_usd,20000000.0,,,min_adv20_usd:50000000.0->20000000.0,-0.035930568692507325,-0.014239878699126574,-0.10604032258064544,0.035930568692507325,False,False,False
