strategy,role,full_cagr,oos_cagr,oos_cagr_minus_qqq,oos_max_drawdown,return_2022,annual_turnover,avg_names_held,risk_on_realized_stock_weight,beta_vs_qqq,alpha_ann_vs_qqq,information_ratio_vs_qqq
cash_buffer_branch_default,cash-buffered parallel branch,0.2348114426770309,0.34068001857447316,0.23873167970694698,-0.19176289938838953,-0.12012100392137592,2.6466073207171315,5.898989898989899,0.7999999999999998,0.5027805307503466,0.25647649401833045,0.8743531809818416
qqq_plus_current_default,main offensive default,0.2416506149571933,0.3340103912486361,0.23206205238110988,-0.3237786750219295,-0.015312392803116026,3.4402863545816738,9.465766634522662,0.96,0.7447972976980726,0.2412113087334444,0.8364950943114928
coherent_full_deployment_branch,full-deployment tech pullback reference,0.2441213592871787,0.3153714302805344,0.2134230914130082,-0.2106193998208613,-0.15963157059653155,3.6427988047808766,7.373737373737374,1.0,0.576097006927484,0.23489758747442563,0.7777996924145466
russell_1000_multi_factor_defensive,defensive base,0.16331062031314847,0.18446943665750348,0.0825210977899773,-0.2543933164893194,-0.13965933707208145,3.9264577108233722,20.644165863066537,1.0,0.5689185619374639,0.12298815318475183,0.3444248571875299
QQQ,benchmark reference,0.17922226974882816,0.10194833886752619,0.0,-0.3482797761653381,-0.3257698957488515,0.0,1.0,1.0,1.0,0.0,
