experiment_group,strategy,cost_bps_one_way,period,scenario,universe_filter,leadership_only,group_normalization,group_normalization_label,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,annual_turnover,average_monthly_turnover,average_names_replaced_per_rebalance,median_holding_duration_days,top5_continuity,avg_sector_weights_json,change_dimension,change_direction,from_value,to_value,is_center,is_neighbor,scenario_group,delta_oos_cagr_vs_center,delta_oos_alpha_ann_vs_center,delta_oos_maxdd_vs_center,abs_delta_oos_cagr_vs_center
final_comparison,default_frozen_spec,5.0,Full Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,4.958779781250848,0.2416506149571933,-0.3237786750219297,0.2852530615979183,0.9038399819654638,1.0872431256196995,0.7463450609921305,3.4402863545816738,9.82246015936255,9.465766634522662,0.6801331217706884,0.25955556656200623,0.8033467178077253,0.3037602935341871,-0.015312392803116026,0.46479200166957213,0.6801331217706884,0.12600387663277035,0.24661090426791057,0.25955556656200623,0.8033467178077253,0.3037602935341871,0.09996087340586489,0.09919077799427092,0.1646373524070207,0.9529946929492039,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",center,center,,,True,False,,,,,
final_comparison,default_frozen_spec,5.0,OOS Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,2.3973026290745523,0.3340103912486361,-0.3237786750219295,0.29901336327568034,1.117223600509941,1.4774266208748699,1.0316009577406962,3.7066983870967745,11.075322580645162,10.570356472795497,0.7447974002360829,0.8364952086519275,1.200446024512899,0.3993296292561382,-0.015312392803116026,0.46479200166957213,0.7447974002360829,0.24121131692145067,0.2503246299654018,0.8364952086519275,1.200446024512899,0.3993296292561382,0.16613331828440253,0.1664664856475045,0.1646373524070207,1.0,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",center,center,,,True,False,,,,,
final_comparison,default_frozen_spec,5.0,2022,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.015312392803116026,-0.015491259822233205,-0.16355701046128357,0.15754305309699587,-0.019576278822279154,-0.02227001164696958,-0.09471474061883897,2.8936703601108036,7.0824099722991685,5.9282868525896415,0.2086178759334363,1.1703930223985157,0.22804596799600213,0.10897238513226014,-0.015312392803116026,0.46479200166957213,0.2086178759334363,0.06866808335784388,0.2912326401106595,1.1703930223985157,0.22804596799600213,0.10897238513226014,,,,,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",center,center,,,True,False,,,,,
final_comparison,default_frozen_spec,5.0,2023+,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2023-01-03,2026-04-02,2.4501324117865915,0.46479200166957213,-0.3237786750219295,0.3303319113044961,1.3256314537040514,1.8549971219723533,1.435523823914876,3.9668924050632914,12.329113924050633,12.0,1.1765387328979986,0.7149704843834861,1.4157640377890541,0.9048497376046407,-0.015312392803116026,0.46479200166957213,1.1765387328979986,0.12142136929025166,0.23624541718099842,0.7149704843834861,1.4157640377890541,0.9048497376046407,0.14014943339111294,0.14070030788784188,0.16463735240702032,1.0,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",center,center,,,True,False,,,,,
final_comparison,default_frozen_spec,0.0,Full Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,5.04373173920548,0.24378388574639698,-0.3235799419986797,0.28526152647898456,0.9098551224514431,1.0945329127057937,0.7533961599739446,3.4402863545816738,9.82246015936255,9.465766634522662,0.6801542325038641,0.2665391625099131,0.8066243999308579,0.3010472400266936,-0.013910946960355441,0.4677035721380778,0.6801542325038641,0.12772332413443865,0.24661581215161102,0.2665391625099131,0.8066243999308579,0.3010472400266936,0.10182480624390863,0.10110829379955547,0.16660207175769626,0.9537528430629265,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",center,center,,,True,False,,,,,
final_comparison,default_frozen_spec,0.0,OOS Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,2.4241265156225213,0.33648495585783333,-0.3235799419986797,0.2990077864716931,1.1234625645574188,1.4857828333527416,1.0398819957116079,3.7066983870967745,11.075322580645162,10.570356472795497,0.7448227119283705,0.8439637208970466,1.2038797846293783,0.39618523429643837,-0.013910946960355441,0.4677035721380778,0.7448227119283705,0.2430674296198143,0.2503124442858354,0.8439637208970466,1.2038797846293783,0.39618523429643837,0.1679520842552294,0.16825968411371756,0.16660207175769626,1.0,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",center,center,,,True,False,,,,,
final_comparison,default_frozen_spec,0.0,2022,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.013910946960355441,-0.014073560659338846,-0.16355701046128335,0.15759350625442667,-0.010459882275372874,-0.011985569790295612,-0.08604682012496365,2.8936703601108036,7.0824099722991685,5.9282868525896415,0.20867075314154676,1.1752880238136294,0.22977633952502502,0.10739915006458961,-0.013910946960355441,0.4677035721380778,0.20867075314154676,0.07012196719596435,0.2912412448317846,1.1752880238136294,0.22977633952502502,0.10739915006458961,,,,,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",center,center,,,True,False,,,,,
final_comparison,default_frozen_spec,0.0,2023+,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2023-01-03,2026-04-02,2.472431323588437,0.4677035721380778,-0.3235799419986798,0.3303172050131003,1.3317141308500173,1.863473896064528,1.4454034735564234,3.9668924050632914,12.329113924050633,12.0,1.1765340318863649,0.7234533046177801,1.4195749783098643,0.8989699091920988,-0.013910946960355441,0.4677035721380778,1.1765340318863649,0.12341235160617764,0.23622563758552234,0.7234533046177801,1.4195749783098643,0.8989699091920988,0.14205264958828626,0.14262525881180158,0.16660207175769587,1.0,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",center,center,,,True,False,,,,,
final_comparison,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,5.0,Full Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,liquid_50m,False,universe,universe_cross_sectional,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,4.003448542313967,0.2156172845390969,-0.34002448677989994,0.2746934060667746,0.8504081628455913,1.0155014289963735,0.6341228144509115,3.4787879731075697,9.82246015936255,12.621022179363548,0.668349024876673,0.16776143542977176,0.7647816196942883,0.35004406931128823,-0.04360806115663052,0.384069267957452,0.668349024876673,0.10406619102979608,0.23716789037054972,0.16776143542977176,0.7647816196942883,0.35004406931128823,0.07293852784319564,0.07234781537236556,0.10942472833147648,0.9287338893100834,3.4787879731075697,0.286875,4.214285714285714,61.0,0.5948717948717946,"{""Information Technology"": 0.17133838383838382, ""Consumer Discretionary"": 0.13333333333333333, ""Health Care"": 0.0933080808080808, ""Industrials"": 0.07954545454545454, ""Communication"": 0.06148989898989898, ""Financials"": 0.0582070707070707, ""Materials"": 0.05088383838383839, ""Energy"": 0.03333333333333333, ""Utilities"": 0.02335858585858586, ""Consumer Staples"": 0.013131313131313133, ""Real Estate"": 0.007323232323232323}",holdings_count,up,12.0,16.0,False,True,candidate_neighbor,-0.06532371306324958,-0.05135863611777314,-0.016245811757970796,0.06532371306324958
final_comparison,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,5.0,OOS Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,liquid_50m,False,universe,universe_cross_sectional,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,1.7453754625541005,0.2686866781853865,-0.34002448677990027,0.2859145169293424,0.9787140036116893,1.270563451674111,0.7901980258242662,3.7762137096774193,11.075322580645162,14.093808630393996,0.7217154900703594,0.6469318200254608,1.0947260901435043,0.4753498517842065,-0.04360806115663052,0.384069267957452,0.7217154900703594,0.18985268080367754,0.23983842501779407,0.6469318200254608,1.0947260901435043,0.4753498517842065,0.0897372576686217,0.0900977965046795,0.10942472833147643,0.9935691318327974,3.4787879731075697,0.286875,4.214285714285714,61.0,0.5948717948717946,"{""Information Technology"": 0.17133838383838382, ""Consumer Discretionary"": 0.13333333333333333, ""Health Care"": 0.0933080808080808, ""Industrials"": 0.07954545454545454, ""Communication"": 0.06148989898989898, ""Financials"": 0.0582070707070707, ""Materials"": 0.05088383838383839, ""Energy"": 0.03333333333333333, ""Utilities"": 0.02335858585858586, ""Consumer Staples"": 0.013131313131313133, ""Real Estate"": 0.007323232323232323}",holdings_count,up,12.0,16.0,False,True,candidate_neighbor,-0.06532371306324958,-0.05135863611777314,-0.016245811757970796,0.06532371306324958
final_comparison,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,5.0,2022,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,liquid_50m,False,universe,universe_cross_sectional,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.04360806115663052,-0.04410996035857229,-0.16790637438371125,0.14824605110203695,-0.22783930733802227,-0.24690436720044456,-0.2627056925055695,2.8329639889196674,7.0824099722991685,7.904382470119522,0.18748979537440075,1.0556661360655148,0.25861482315516987,0.16894916300100424,-0.04360806115663052,0.384069267957452,0.18748979537440075,0.030709104479819154,0.29380925315219164,1.0556661360655148,0.25861482315516987,0.16894916300100424,,,,,3.4787879731075697,0.286875,4.214285714285714,61.0,0.5948717948717946,"{""Information Technology"": 0.17133838383838382, ""Consumer Discretionary"": 0.13333333333333333, ""Health Care"": 0.0933080808080808, ""Industrials"": 0.07954545454545454, ""Communication"": 0.06148989898989898, ""Financials"": 0.0582070707070707, ""Materials"": 0.05088383838383839, ""Energy"": 0.03333333333333333, ""Utilities"": 0.02335858585858586, ""Consumer Staples"": 0.013131313131313133, ""Real Estate"": 0.007323232323232323}",holdings_count,up,12.0,16.0,False,True,candidate_neighbor,-0.06532371306324958,-0.05135863611777314,-0.016245811757970796,0.06532371306324958
final_comparison,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,5.0,2023+,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,liquid_50m,False,universe,universe_cross_sectional,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2023-01-03,2026-04-02,1.8705547914532485,0.384069267957452,-0.34002448677990005,0.31622406869769104,1.190330424816275,1.6379642666246275,1.1295341450101575,4.076313291139241,12.329113924050633,16.0,1.1521263845331358,0.48720287349802316,1.2798657512111904,1.0088020474031218,-0.04360806115663052,0.384069267957452,1.1521263845331358,0.06650080198090937,0.220485683564733,0.48720287349802316,1.2798657512111904,1.0088020474031218,0.0770971859347194,0.08348546947370619,0.109424728331476,1.0,3.4787879731075697,0.286875,4.214285714285714,61.0,0.5948717948717946,"{""Information Technology"": 0.17133838383838382, ""Consumer Discretionary"": 0.13333333333333333, ""Health Care"": 0.0933080808080808, ""Industrials"": 0.07954545454545454, ""Communication"": 0.06148989898989898, ""Financials"": 0.0582070707070707, ""Materials"": 0.05088383838383839, ""Energy"": 0.03333333333333333, ""Utilities"": 0.02335858585858586, ""Consumer Staples"": 0.013131313131313133, ""Real Estate"": 0.007323232323232323}",holdings_count,up,12.0,16.0,False,True,candidate_neighbor,-0.06532371306324958,-0.05135863611777314,-0.016245811757970796,0.06532371306324958
final_comparison,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,0.0,Full Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,liquid_50m,False,universe,universe_cross_sectional,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,4.075562639821047,0.21772857821319302,-0.33980177499104725,0.27470451669191764,0.8567181402839326,1.0231592388224793,0.6407517389187549,3.4787879731075697,9.82246015936255,12.621022179363548,0.6683863777701878,0.17510706616235638,0.7681101504482741,0.34736465857711624,-0.04227404182462302,0.38689458888872674,0.6683863777701878,0.10580177938908833,0.2371717744203437,0.17510706616235638,0.7681101504482741,0.34736465857711624,0.07481060696710184,0.0742487785633652,0.11142514540577064,0.9332827899924185,3.4787879731075697,0.286875,4.214285714285714,61.0,0.5948717948717946,"{""Information Technology"": 0.17133838383838382, ""Consumer Discretionary"": 0.13333333333333333, ""Health Care"": 0.0933080808080808, ""Industrials"": 0.07954545454545454, ""Communication"": 0.06148989898989898, ""Financials"": 0.0582070707070707, ""Materials"": 0.05088383838383839, ""Energy"": 0.03333333333333333, ""Utilities"": 0.02335858585858586, ""Consumer Staples"": 0.013131313131313133, ""Real Estate"": 0.007323232323232323}",holdings_count,up,12.0,16.0,False,True,candidate_neighbor,-0.06532371306324958,-0.05135863611777314,-0.016245811757970796,0.06532371306324958
final_comparison,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,0.0,OOS Sample,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,liquid_50m,False,universe,universe_cross_sectional,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,1.767453866012373,0.2710835690967901,-0.3398017749910469,0.28591147876070366,0.9853493106900041,1.279205696536414,0.7977697264940202,3.7762137096774193,11.075322580645162,14.093808630393996,0.7217551435038844,0.6548639261441993,1.0982670513649042,0.4722762021194641,-0.04227404182462302,0.38689458888872674,0.7217551435038844,0.19174187419321395,0.23982577066677388,0.6548639261441993,1.0982670513649042,0.4722762021194641,0.09162234636878432,0.09183091091903461,0.11142514540577064,0.9967845659163987,3.4787879731075697,0.286875,4.214285714285714,61.0,0.5948717948717946,"{""Information Technology"": 0.17133838383838382, ""Consumer Discretionary"": 0.13333333333333333, ""Health Care"": 0.0933080808080808, ""Industrials"": 0.07954545454545454, ""Communication"": 0.06148989898989898, ""Financials"": 0.0582070707070707, ""Materials"": 0.05088383838383839, ""Energy"": 0.03333333333333333, ""Utilities"": 0.02335858585858586, ""Consumer Staples"": 0.013131313131313133, ""Real Estate"": 0.007323232323232323}",holdings_count,up,12.0,16.0,False,True,candidate_neighbor,-0.06532371306324958,-0.05135863611777314,-0.016245811757970796,0.06532371306324958
final_comparison,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,0.0,2022,v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10__holdings_count_up_16,liquid_50m,False,universe,universe_cross_sectional,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.04227404182462302,-0.042760933055464356,-0.16790637438371137,0.14828936964274428,-0.21829413657519045,-0.23726538221441185,-0.25467129054757676,2.8329639889196674,7.0824099722991685,7.904382470119522,0.18753922817976737,1.0604337347921948,0.2604192428193404,0.16746248139306066,-0.04227404182462302,0.38689458888872674,0.18753922817976737,0.03213168412554156,0.29381379192521434,1.0604337347921948,0.2604192428193404,0.16746248139306066,,,,,3.4787879731075697,0.286875,4.214285714285714,61.0,0.5948717948717946,"{""Information Technology"": 0.17133838383838382, ""Consumer Discretionary"": 0.13333333333333333, ""Health Care"": 0.0933080808080808, ""Industrials"": 0.07954545454545454, ""Communication"": 0.06148989898989898, ""Financials"": 0.0582070707070707, ""Materials"": 0.05088383838383839, ""Energy"": 0.03333333333333333, ""Utilities"": 0.02335858585858586, ""Consumer Staples"": 0.013131313131313133, ""Real Estate"": 0.007323232323232323}",holdings_count,up,12.0,16.0,False,True,candidate_neighbor,-0.06532371306324958,-0.05135863611777314,-0.016245811757970796,0.06532371306324958
