strategy,cost_bps_one_way,period,family,universe,normalization,normalization_label,min_adv20_usd,leadership_filter,sector_whitelist,symbol_whitelist,score_template,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,breadth_symbols,soft_defense_exposure,hard_defense_exposure,notes,candidate_label,config_name,risk_on_target_exposure,geometry_note,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,annual_turnover,average_monthly_turnover,average_names_replaced_per_rebalance,median_holding_duration_days,top5_continuity,avg_sector_weights_json
center_current,0.0,Full Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,center_current,tech_heavy_pullback_balanced_focused_qqq_breadth,1.0,Current center spec; risk_on target=100% but two-sector + 40% sector cap implies theoretical 80% stock max,2018-01-02,2026-04-02,4.593374815183062,0.2321586594395597,-0.32496248631596647,0.22801433836461307,1.0319095616799048,1.2370673286244684,0.7144167995250625,2.95886454183267,9.094870517928285,6.397299903567984,0.5394039155424969,0.1903168970720254,0.6758393069813298,0.1299959880180234,-0.11327370427690042,0.48864765932588683,0.5394039155424969,0.13074621549442145,0.21793286046503504,0.1903168970720254,0.6758393069813298,0.1299959880180234,0.07535620237475578,0.05583104661307024,0.25447278174573307,0.8453373768006065,2.95886454183267,0.24400000000000002,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}"
center_current,0.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,center_current,tech_heavy_pullback_balanced_focused_qqq_breadth,1.0,Current center spec; risk_on target=100% but two-sector + 40% sector cap implies theoretical 80% stock max,2022-01-03,2026-04-02,2.2239448174535363,0.3176470010321506,-0.18394852146593377,0.21839830270127816,1.3769175425773192,1.8035736348759266,1.7268255189046302,3.1576451612903234,9.661451612903226,6.975609756097561,0.4963809881598316,0.8027616244094791,0.9836325670085398,0.17538044676876438,-0.11327370427690042,0.48864765932588683,0.4963809881598316,0.2388328985842633,0.21930169176861297,0.8027616244094791,0.9836325670085398,0.17538044676876438,0.19149953814737217,0.18820627412804525,0.25447278174573396,1.0,2.95886454183267,0.24400000000000002,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}"
center_current,0.0,2022,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,center_current,tech_heavy_pullback_balanced_focused_qqq_breadth,1.0,Current center spec; risk_on target=100% but two-sector + 40% sector cap implies theoretical 80% stock max,2022-01-03,2022-12-30,-0.11327370427690042,-0.11452781774452292,-0.1473480842578787,0.11330335044007309,-1.008333081870156,-0.8390852976309747,-0.7772603106538123,2.124722991689751,4.0470914127423825,2.5179282868525896,0.1362807758789262,0.7754908371515763,0.0,0.1838741129110281,-0.11327370427690042,0.48864765932588683,0.1362807758789262,-0.0673750414277307,0.2961904252095624,0.7754908371515763,0.0,0.1838741129110281,,,,,2.95886454183267,0.24400000000000002,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}"
center_current,0.0,2023+,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,center_current,tech_heavy_pullback_balanced_focused_qqq_breadth,1.0,Current center spec; risk_on target=100% but two-sector + 40% sector cap implies theoretical 80% stock max,2023-01-03,2026-04-02,2.6357834802051356,0.48864765932588683,-0.183948521465934,0.2411610247735876,1.7768840321541206,2.5318919566129208,2.6564370043951726,3.4829746835443047,11.404430379746836,8.348466257668711,0.7827213181683564,0.8421553321121669,1.201437533508592,0.160592749760269,-0.11327370427690042,0.48864765932588683,0.7827213181683564,0.2179710945541703,0.1894250755535276,0.8421553321121669,1.201437533508592,0.160592749760269,0.2181653617503637,0.2265668590964774,0.2544727817457332,1.0,2.95886454183267,0.24400000000000002,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}"
center_current,5.0,Full Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,center_current,tech_heavy_pullback_balanced_focused_qqq_breadth,1.0,Current center spec; risk_on target=100% but two-sector + 40% sector cap implies theoretical 80% stock max,2018-01-02,2026-04-02,4.52577601428643,0.230343208703087,-0.3275691692317261,0.2279969587120907,1.0254865869181704,1.2292045082499627,0.7031895255689941,2.95886454183267,9.094870517928285,6.397299903567984,0.5393898203423443,0.18352722368445723,0.6730085517573238,0.13224041844355156,-0.11420526158137101,0.4860629363265818,0.5393898203423443,0.12926659439853755,0.21791836671229906,0.18352722368445723,0.6730085517573238,0.13224041844355156,0.07368312096939453,0.054345780372579894,0.2528938331036884,0.8407884761182715,2.95886454183267,0.24400000000000002,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}"
center_current,5.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,center_current,tech_heavy_pullback_balanced_focused_qqq_breadth,1.0,Current center spec; risk_on target=100% but two-sector + 40% sector cap implies theoretical 80% stock max,2022-01-03,2026-04-02,2.20245135974008,0.3155716776716817,-0.1841129708630962,0.21839400709387893,1.3696922975287686,1.792701861378311,1.7140111106367206,3.1576451612903234,9.661451612903226,6.975609756097561,0.4963659717634555,0.7955412624658633,0.9806460875375209,0.17786398212578686,-0.11420526158137101,0.4860629363265818,0.4963659717634555,0.23725090575489768,0.21930115461714675,0.7955412624658633,0.9806460875375209,0.17786398212578686,0.1898364332948114,0.18649035340185524,0.25289383310368924,1.0,2.95886454183267,0.24400000000000002,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}"
center_current,5.0,2022,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,center_current,tech_heavy_pullback_balanced_focused_qqq_breadth,1.0,Current center spec; risk_on target=100% but two-sector + 40% sector cap implies theoretical 80% stock max,2022-01-03,2022-12-30,-0.11420526158137101,-0.11546900328424914,-0.1473480842578786,0.11330883483615634,-1.0175879045010994,-0.8350170735984558,-0.783647808288862,2.124722991689751,4.0470914127423825,2.5179282868525896,0.13627195286881835,0.7719182367717404,-0.001120925113252058,0.18503775014128274,-0.11420526158137101,0.4860629363265818,0.13627195286881835,-0.06843225928497106,0.29619558995174006,0.7719182367717404,-0.001120925113252058,0.18503775014128274,,,,,2.95886454183267,0.24400000000000002,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}"
center_current,5.0,2023+,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,center_current,tech_heavy_pullback_balanced_focused_qqq_breadth,1.0,Current center spec; risk_on target=100% but two-sector + 40% sector cap implies theoretical 80% stock max,2023-01-03,2026-04-02,2.615342495099122,0.4860629363265818,-0.18411297086309641,0.24115659895957944,1.769672412342374,2.5202546142096662,2.640025491131805,3.4829746835443047,11.404430379746836,8.348466257668711,0.782711254677684,0.8329482937506147,1.1980379658397788,0.1653742626047279,-0.11420526158137101,0.4860629363265818,0.782711254677684,0.21622680766585206,0.18942153400384018,0.8329482937506147,1.1980379658397788,0.1653742626047279,0.2165168479564765,0.22496940824159473,0.2528938331036885,1.0,2.95886454183267,0.24400000000000002,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.2939393939393939, ""Communication"": 0.26565656565656565}"
local_stable_neighbor,0.0,Full Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.08,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,local_stable_neighbor,tech_heavy_pullback_balanced_focused_qqq_breadth__single_name_cap_0p08,1.0,Current local stable neighbor from v1.1; single cap lowered from 10% to 8%,2018-01-02,2026-04-02,3.5561277816871755,0.20188964076072136,-0.2661093252409854,0.19224356113866878,1.0550890499440602,1.2471612836035295,0.75867179993746,2.364666334661355,9.094870517928285,6.397299903567984,0.4658615929107409,0.04462790362142938,0.5746358888096748,0.09457164642134509,-0.09541698362822104,0.4338705529754201,0.4658615929107409,0.11254363798716256,0.20212031851982987,0.04462790362142938,0.5746358888096748,0.09457164642134509,0.06247027855176803,0.04359456987095714,0.23492021298107654,0.8278999241849886,2.364666334661355,0.19500000000000003,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.247070707070707, ""Communication"": 0.21878787878787878}"
local_stable_neighbor,0.0,OOS Sample,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.08,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,local_stable_neighbor,tech_heavy_pullback_balanced_focused_qqq_breadth__single_name_cap_0p08,1.0,Current local stable neighbor from v1.1; single cap lowered from 10% to 8%,2022-01-03,2026-04-02,1.912205183241606,0.2864462967455761,-0.1636756737847782,0.18584872302914557,1.4532253374901347,1.8987022487315315,1.750084726226528,2.5072645161290326,9.661451612903226,6.975609756097561,0.42493171649402584,0.703347769971059,0.8534831168193608,0.1140673056451307,-0.09541698362822104,0.4338705529754201,0.42493171649402584,0.21710406054087483,0.2067406872044836,0.703347769971059,0.8534831168193608,0.1140673056451307,0.16953443479701902,0.16534416653767295,0.23492021298107718,1.0,2.364666334661355,0.19500000000000003,2.2551020408163267,58.0,0.6416666666666666,"{""Information Technology"": 0.247070707070707, ""Communication"": 0.21878787878787878}"
