scope,dimension,value,neighborhood,count,total,share
axis,hold_bonus,0.05,within_200bps_best_cagr_ir_positive,12,72,0.16666666666666666
axis,hold_bonus,0.1,within_200bps_best_cagr_ir_positive,12,72,0.16666666666666666
axis,hold_bonus,0.15,within_200bps_best_cagr_ir_positive,11,72,0.1527777777777778
subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | sector | 12,within_200bps_best_cagr_ir_positive,0,27,0.0
subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | sector | 16,within_200bps_best_cagr_ir_positive,0,27,0.0
subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | universe | 12,within_200bps_best_cagr_ir_positive,26,27,0.9629629629629629
subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | universe | 16,within_200bps_best_cagr_ir_positive,0,27,0.0
subspace,universe_filter+group_normalization+holdings_count,liquid_50m | sector | 12,within_200bps_best_cagr_ir_positive,0,27,0.0
subspace,universe_filter+group_normalization+holdings_count,liquid_50m | sector | 16,within_200bps_best_cagr_ir_positive,0,27,0.0
subspace,universe_filter+group_normalization+holdings_count,liquid_50m | universe | 12,within_200bps_best_cagr_ir_positive,9,27,0.3333333333333333
subspace,universe_filter+group_normalization+holdings_count,liquid_50m | universe | 16,within_200bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | sector | 12,top_decile_full_cagr,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | sector | 12,within_100bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | sector | 12,within_200bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | sector | 16,top_decile_full_cagr,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | sector | 16,within_100bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | sector | 16,within_200bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | universe | 12,top_decile_full_cagr,21,27,0.7777777777777778
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | universe | 12,within_100bps_best_cagr_ir_positive,16,27,0.5925925925925926
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | universe | 12,within_200bps_best_cagr_ir_positive,26,27,0.9629629629629629
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | universe | 16,top_decile_full_cagr,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | universe | 16,within_100bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,leadership_liquid | universe | 16,within_200bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | sector | 12,top_decile_full_cagr,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | sector | 12,within_100bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | sector | 12,within_200bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | sector | 16,top_decile_full_cagr,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | sector | 16,within_100bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | sector | 16,within_200bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | universe | 12,top_decile_full_cagr,2,27,0.07407407407407407
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | universe | 12,within_100bps_best_cagr_ir_positive,2,27,0.07407407407407407
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | universe | 12,within_200bps_best_cagr_ir_positive,9,27,0.3333333333333333
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | universe | 16,top_decile_full_cagr,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | universe | 16,within_100bps_best_cagr_ir_positive,0,27,0.0
candidate_subspace,universe_filter+group_normalization+holdings_count,liquid_50m | universe | 16,within_200bps_best_cagr_ir_positive,0,27,0.0
