strategy,config_name,full_cagr,full_max_drawdown,oos_cagr,oos_cagr_minus_qqq,oos_max_drawdown,return_2022,cagr_2023_plus,annual_turnover,avg_names_held,risk_on_avg_names,risk_on_target_stock_weight,risk_on_realized_stock_weight,risk_on_fill_rate,soft_defense_realized_stock_weight,hard_defense_realized_stock_weight,underfilled_month_share,avg_top1_stock_weight,avg_top3_stock_weight,avg_top5_stock_weight,avg_safe_haven_weight,avg_theoretical_stock_max,risk_on_geometry_feasible_share,selected_count_distribution_json,dominant_underfill_reason,target_names,realized_names,target_stock_weight,realized_stock_weight,names_alignment_score,stock_alignment_score,deployment_honesty_score,score_oos_rel_qqq,score_oos_maxdd,score_2022,score_turnover,score_avg_names,score_top3_concentration,score_fill_rate,score_honesty,spec_normalization_score
coherent_cash_buffer_branch,coherent_cash_buffer_branch_cfg,0.24023215835023137,-0.31389734436425853,0.3308200064185589,0.22887162664596006,-0.1917628993883893,-0.12012100392137592,0.5117520323267855,2.8254731075697213,5.898989898989899,8.0,0.7999999999999998,0.7999999999999998,1.0,0.5999999999999999,0.0,0.26262626262626265,0.06994949494949494,0.2098484848484849,0.34974747474747475,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""8"": 0.7373737373737373}",hard_defense_zero_stock,8.0,8.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,1.0,0.5,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.6966666666666668
center_current,tech_heavy_pullback_balanced_focused_qqq_breadth,0.230343208703087,-0.3275691692317261,0.3155716776716817,0.21362329789908285,-0.1841129708630962,-0.11420526158137101,0.4860629363265818,2.9588645418326696,6.505050505050505,8.0,1.0,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.0,0.8484848484848485,0.06616161616161616,0.19848484848484846,0.33080808080808083,0.4404040404040404,0.5595959595959595,0.0,"{""0"": 0.26262626262626265, ""8"": 0.5858585858585859, ""12"": 0.15151515151515152}",sector_cap_binding,12.0,8.0,1.0,0.7999999999999998,0.6666666666666667,0.7999999999999998,0.7333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.4166666666666667,0.5,0.4166666666666667,0.3333333333333333,0.6091666666666667
coherent_full_deployment_branch,coherent_full_deployment_branch_cfg,0.2441213592871787,-0.40644093095708145,0.3153714302805344,0.21342305050793553,-0.2106193998208613,-0.15963157059653155,0.5100726983865964,3.6427988047808766,7.373737373737374,10.0,1.0,1.0,1.0,0.5999999999999999,0.0,0.26262626262626265,0.06767676767676765,0.20303030303030303,0.33838383838383823,0.32323232323232315,0.6767676767676765,1.0,"{""0"": 0.26262626262626265, ""10"": 0.7373737373737373}",hard_defense_zero_stock,10.0,10.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.75,0.3333333333333333,0.8333333333333334,0.9166666666666666,0.5841666666666666
coherent_full_deployment_branch_single8,coherent_full_deployment_branch_single8_cfg,0.21341368899242052,-0.33922632362357674,0.28796567799819184,0.186017298225593,-0.18695673003651103,-0.13317888145650914,0.45508555019258545,2.8982320717131476,7.373737373737374,10.0,1.0,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.0,0.26262626262626265,0.055959595959595945,0.16787878787878785,0.27979797979797977,0.4404040404040404,0.5595959595959595,0.0,"{""0"": 0.26262626262626265, ""10"": 0.7373737373737373}",hard_defense_zero_stock,10.0,10.0,1.0,0.7999999999999998,1.0,0.7999999999999998,0.8999999999999999,0.5,0.6666666666666666,0.5,0.6666666666666666,0.75,0.8333333333333334,0.4166666666666667,0.5,0.5658333333333333
local_stable_neighbor,tech_heavy_pullback_balanced_focused_qqq_breadth__single_name_cap_0p08,0.20047360531669822,-0.26836001994685865,0.2848377435877123,0.18288936381511345,-0.16377679463430528,-0.0962225707211738,0.4319190511353015,2.364666334661355,6.505050505050505,8.0,1.0,0.6400000000000001,0.6400000000000001,0.5999999999999999,0.0,0.8484848484848485,0.05444444444444444,0.1633333333333333,0.2722222222222222,0.5341414141414141,0.5595959595959595,0.0,"{""0"": 0.26262626262626265, ""8"": 0.5858585858585859, ""12"": 0.15151515151515152}",sector_cap_binding,12.0,8.0,1.0,0.6400000000000001,0.6666666666666667,0.6400000000000001,0.6533333333333334,0.3333333333333333,1.0,1.0,1.0,0.4166666666666667,1.0,0.16666666666666666,0.16666666666666666,0.5575000000000001
feasible_two_sector_50cap,tech_heavy_pullback_balanced_focused_qqq_breadth__sector_cap_0p5,0.21600897156298338,-0.39446969236770413,0.26283603042061765,0.1608876506480188,-0.21265920912904945,-0.16440109123142688,0.4341876236208575,3.512641102257636,8.848484848484848,12.0,1.0,1.0,1.0,0.5999999999999999,0.0,0.26262626262626265,0.0563973063973064,0.16919191919191912,0.28198653198653195,0.32323232323232315,0.6767676767676765,1.0,"{""0"": 0.26262626262626265, ""12"": 0.7373737373737373}",hard_defense_zero_stock,12.0,12.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.48666666666666664
